"title","style","year","url","original_category","final_category","medal","batch_size_gal","og","fg","abv_pct","ibu","srm","efficiency_pct","malts_json","hops_json","yeast_json","adjuncts_json","num_malts","num_hops","num_adjuncts","mash_type","mash_steps_json","num_mash_steps","boil_time_min","fermentation_stages_json","num_fermentation_stages","water_description","water_Ca_ppm","water_Mg_ppm","water_Na_ppm","water_Cl_ppm","water_SO4_ppm","water_HCO3_ppm","water_salt_additions_json","water_volume_gal","extract_version"
"Big Blimp! Barleywine (2019)","UK/US STRONG ALE","2019.0","https://www.homebrewersassociation.org/homebrew-recipe/big-blimp-barleywine/","['Extract', 'All-Grain', 'Ale', 'Winning-Medal']","Beer","NHC GOLD","5.5","1.096","1.018","10.31","100.0","17.0","70.0","[{""name"": ""Maris Otter pale malt"", ""amount"": 19.0, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""40\\u00b0L crystal malt"", ""amount"": 454.0, ""unit"": ""g"", ""color_L"": null}, {""name"": ""dextrose"", ""amount"": 454.0, ""unit"": ""g"", ""color_L"": null}, {""name"": ""80\\u00b0L crystal malt"", ""amount"": 227.0, ""unit"": ""g"", ""color_L"": null}, {""name"": ""Special B malt"", ""amount"": 113.0, ""unit"": ""g"", ""color_L"": null}, {""name"": ""dextrin malt"", ""amount"": 113.0, ""unit"": ""g"", ""color_L"": null}]","[{""name"": ""Cascade"", ""amount"": 0.75, ""unit"": ""oz"", ""alpha_acid_pct"": 5.75, ""time_min"": 0, ""usage"": ""FWH"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Chinook"", ""amount"": 0.75, ""unit"": ""oz"", ""alpha_acid_pct"": 12.8, ""time_min"": 0, ""usage"": ""FWH"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Centennial"", ""amount"": 0.75, ""unit"": ""oz"", ""alpha_acid_pct"": 10.0, ""time_min"": 0, ""usage"": ""FWH"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Cascade"", ""amount"": 1.25, ""unit"": ""oz"", ""alpha_acid_pct"": 5.75, ""time_min"": 1, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Chinook"", ""amount"": 1.25, ""unit"": ""oz"", ""alpha_acid_pct"": 12.8, ""time_min"": 1, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Centennial"", ""amount"": 1.25, ""unit"": ""oz"", ""alpha_acid_pct"": 10.0, ""time_min"": 1, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Cascade"", ""amount"": 1.0, ""unit"": ""oz"", ""alpha_acid_pct"": 5.75, ""time_min"": 120, ""usage"": ""dry hop"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Chinook"", ""amount"": 2.0, ""unit"": ""oz"", ""alpha_acid_pct"": 12.8, ""time_min"": 120, ""usage"": ""dry hop"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Centennial"", ""amount"": 1.0, ""unit"": ""oz"", ""alpha_acid_pct"": 10.0, ""time_min"": 120, ""usage"": ""dry hop"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}]","{""name"": ""1056 American Ale"", ""brand"": ""Wyeast"", ""product_code"": null, ""starter_volume_L"": 1.9}","[]","6","9","0","Single Infusion","[{""name"": ""Mash"", ""temp_F"": 150.0, ""time_min"": 90}]","1","90.0","[{""stage"": ""Primary"", ""start_temp_F"": null, ""end_temp_F"": null, ""duration_days"": 21, ""ramp_per_day_F"": null}, {""stage"": ""Dry Hop"", ""start_temp_F"": null, ""end_temp_F"": null, ""duration_days"": 5, ""ramp_per_day_F"": null}]","2","De-chlorinated Akron, Ohio, city water with 1 tsp. calcium chloride and 1/2 tsp. gypsum per batch","","","","","","","[{""salt_type"": ""calcium chloride"", ""amount"": 4.9, ""unit"": ""mL"", ""notes"": ""1 tsp.""}, {""salt_type"": ""gypsum"", ""amount"": 2.5, ""unit"": ""mL"", ""notes"": ""1/2 tsp.""}]","",""
"Freya’s Locks Blonde Ale","BLONDE ALE","","https://www.homebrewersassociation.org/homebrew-recipe/freyas-locks-blonde-ale/","['Extract', 'All-Grain']","Beer","No Medal","5.0","1.044","1.01","4.5","21.0","6.7","","[{""name"": ""Pilsner malt"", ""amount"": 2.9, ""unit"": ""lb"", ""color_L"": 1.3}, {""name"": ""Vienna malt"", ""amount"": 0.75, ""unit"": ""lb"", ""color_L"": 3.0}, {""name"": ""light crystal or Cara malt"", ""amount"": 0.33, ""unit"": ""lb"", ""color_L"": 10.0}]","[{""name"": ""Summit"", ""amount"": 0.33, ""unit"": ""oz"", ""alpha_acid_pct"": 17.0, ""time_min"": 60, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Willamette"", ""amount"": 0.5, ""unit"": ""oz"", ""alpha_acid_pct"": 5.0, ""time_min"": 0, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}]","{""name"": ""neutral ale yeast (Chico strain)"", ""brand"": null, ""product_code"": null, ""starter_volume_L"": 2.0}","[{""item"": ""Irish moss (or other fining agent)"", ""amount"": 0.5, ""unit"": ""tsp"", ""category"": ""processing_aid"", ""timing"": ""20 min"", ""purpose"": ""clarity"", ""notes"": null}, {""item"": ""calcium chloride (optional)"", ""amount"": 0.5, ""unit"": ""tsp"", ""category"": ""salt"", ""timing"": null, ""purpose"": null, ""notes"": ""optional""}, {""item"": ""Polyclar AT (PVPP, optional)"", ""amount"": 8.0, ""unit"": ""g"", ""category"": ""processing_aid"", ""timing"": null, ""purpose"": ""clarity"", ""notes"": null}, {""item"": ""corn sugar"", ""amount"": 4.75, ""unit"": ""oz"", ""category"": ""sugar"", ""timing"": ""priming"", ""purpose"": ""carbonation"", ""notes"": ""to 2.6 vol. CO2""}]","3","2","4","Single Infusion","[{""name"": ""Mash"", ""temp_F"": 150.0, ""time_min"": 45}]","1","55.0","[{""stage"": ""Primary"", ""start_temp_F"": 68.0, ""end_temp_F"": 68.0, ""duration_days"": 7, ""ramp_per_day_F"": null}, {""stage"": ""Secondary"", ""start_temp_F"": 68.0, ""end_temp_F"": 68.0, ""duration_days"": 3, ""ramp_per_day_F"": null}]","2","Carbon filter and adjust with distilled water and CaCl₂ as needed for less than 50 ppm carbonates and 100–150 ppm Ca.","","","","","","","[{""salt_type"": ""CaCl\\u2082"", ""amount"": 0.5, ""unit"": ""tsp"", ""notes"": null}]","",""
"Lines on the Map English Strong Ale","UK/US STRONG ALE","2023.0","https://www.homebrewersassociation.org/homebrew-recipe/lines-on-the-map-english-strong-ale/","['Extract', 'All-Grain']","Beer","No Medal","5.0","1.09","1.022","8.7","56.0","35.0","","[{""name"": ""English pale ale malt"", ""amount"": 9.0, ""unit"": ""lb"", ""color_L"": 3.0}, {""name"": ""crystal malt"", ""amount"": 6.0, ""unit"": ""oz"", ""color_L"": 70.0}, {""name"": ""chocolate malt"", ""amount"": 5.0, ""unit"": ""oz"", ""color_L"": 375.0}, {""name"": ""black malt"", ""amount"": 3.0, ""unit"": ""oz"", ""color_L"": 500.0}, {""name"": ""light liquid malt extract"", ""amount"": 4.0, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""sucrose (cane sugar)"", ""amount"": 8.0, ""unit"": ""oz"", ""color_L"": null}]","[{""name"": ""Goldings"", ""amount"": 3.0, ""unit"": ""oz"", ""alpha_acid_pct"": 5.0, ""time_min"": 60, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Goldings"", ""amount"": 1.0, ""unit"": ""oz"", ""alpha_acid_pct"": 5.0, ""time_min"": 0, ""usage"": ""flameout"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Goldings"", ""amount"": 1.0, ""unit"": ""oz"", ""alpha_acid_pct"": 5.0, ""time_min"": null, ""usage"": ""dry hop"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}]","{""name"": ""English ale yeast starter"", ""brand"": null, ""product_code"": null, ""starter_volume_L"": 3.0}","[{""item"": ""Irish moss"", ""amount"": 0.5, ""unit"": ""tsp"", ""category"": ""processing_aid"", ""timing"": ""20 min"", ""purpose"": ""clarity"", ""notes"": null}, {""item"": ""calcium chloride"", ""amount"": 0.5, ""unit"": ""tsp"", ""category"": ""salt"", ""timing"": ""whenever needed"", ""purpose"": ""water chemistry adjustment"", ""notes"": null}, {""item"": ""corn sugar"", ""amount"": 4.6, ""unit"": ""g/L"", ""category"": ""sugar"", ""timing"": ""priming"", ""purpose"": ""CO2 priming"", ""notes"": null}]","6","3","3","single infusion","[{""name"": ""Mash"", ""temp_F"": 150.0, ""time_min"": 60}]","1","90.0","[{""stage"": ""primary"", ""start_temp_F"": 70.0, ""end_temp_F"": 70.0, ""duration_days"": 14, ""ramp_per_day_F"": null}, {""stage"": ""dry hopping"", ""start_temp_F"": 70.0, ""end_temp_F"": 70.0, ""duration_days"": 5, ""ramp_per_day_F"": null}]","2","Carbon filter and adjust with distilled water and CaSO₄ as needed for roughly 70 ppm carbonates and 150–200 ppm Ca.","","","","150.0","70.0","","[{""salt_type"": ""CaSO\\u2084"", ""amount"": 0.0, ""unit"": ""g"", ""notes"": ""For carbonate levels""}]","6.5",""
"Wee Heavy/Strong Scotch Ale","AMBER ALE","2017.0","https://www.homebrewersassociation.org/homebrew-recipe/wee-heavystrong-scotch-ale/","['Extract', 'All-Grain']","Beer","No Medal","5.5","1.091","1.025","8.8","36.0","20.0","","[{""name"": ""Golden Promise pale malt"", ""amount"": 18.25, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""roast barley"", ""amount"": 8.0, ""unit"": ""oz"", ""color_L"": null}]","[{""name"": ""East Kent Goldings"", ""amount"": 3.0, ""unit"": ""oz"", ""alpha_acid_pct"": 5.0, ""time_min"": 60, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}]","{""name"": ""White Labs WLP028 Edinburgh Scottish Ale"", ""brand"": ""White Labs"", ""product_code"": null, ""starter_volume_L"": null}","[{""item"": ""1 Whirlfloc tablet or 1 tsp. Irish moss"", ""amount"": 5.0, ""unit"": ""g"", ""category"": ""processing_aid"", ""timing"": ""15 min"", ""purpose"": null, ""notes"": null}, {""item"": ""yeast nutrient"", ""amount"": 2.2, ""unit"": ""g"", ""category"": ""processing_aid"", ""timing"": ""15 min"", ""purpose"": null, ""notes"": null}]","2","1","2","Single Infusion","[{""name"": ""mash"", ""temp_F"": 152.0, ""time_min"": 60}]","1","120.0","[{""stage"": ""primary"", ""start_temp_F"": 63.0, ""end_temp_F"": 67.0, ""duration_days"": 4, ""ramp_per_day_F"": null}, {""stage"": ""primary"", ""start_temp_F"": 67.0, ""end_temp_F"": 67.0, ""duration_days"": 14, ""ramp_per_day_F"": null}, {""stage"": ""secondary"", ""start_temp_F"": 36.0, ""end_temp_F"": 36.0, ""duration_days"": 14, ""ramp_per_day_F"": null}]","3","","","","","","","","","","Substitute pale malt with 13.75 lb. (6.24 kg) Maris Otter liquid malt extract. Decrease roast barley to 6 oz. (170 g) and steep in 155°F (68°C) reverse osmosis water for 30 minutes. Dissolve extract and top up to desired boil volume with RO water. Add hops and boil 60 minutes. Proceed as above."
"O’Davey Irish Red Ale","AMBER ALE","2021.0","https://www.homebrewersassociation.org/homebrew-recipe/odavey-irish-red-ale/","['Extract', 'All-Grain']","Beer","No Medal","5.0","1.054","1.012","5.5","24.0","17.0","","[{""name"": ""pale ale malt"", ""amount"": 10.0, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""45\\u00b0L crystal malt"", ""amount"": 6.0, ""unit"": ""oz"", ""color_L"": 45.0}, {""name"": ""160\\u00b0L crystal malt"", ""amount"": 4.0, ""unit"": ""oz"", ""color_L"": 160.0}, {""name"": ""80\\u00b0L crystal malt"", ""amount"": 2.0, ""unit"": ""oz"", ""color_L"": 80.0}, {""name"": ""roasted barley"", ""amount"": 2.0, ""unit"": ""oz"", ""color_L"": 550.0}]","[{""name"": ""Willamette"", ""amount"": 0.75, ""unit"": ""oz"", ""alpha_acid_pct"": 6.0, ""time_min"": 60, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""East Kent Goldings"", ""amount"": 1.0, ""unit"": ""oz"", ""alpha_acid_pct"": 4.7, ""time_min"": 10, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}]","{""name"": ""Lallemand Nottingham Yeast"", ""brand"": null, ""product_code"": null, ""starter_volume_L"": null}","[]","5","2","0","Single Infusion","[{""name"": ""Mash"", ""temp_F"": 152.0, ""time_min"": 60}]","1","60.0","[{""stage"": ""Primary"", ""start_temp_F"": 64.0, ""end_temp_F"": 64.0, ""duration_days"": null, ""ramp_per_day_F"": null}]","1","","","","","","","","","","Replace the pale ale malt with 8 lb. 3.6 kg) Maris Otter liquid malt extract. Steep the crystal malts and roasted barley for 30 minutes at 155°F (68°C) in 1.5 gal. (5.7 L) water. Remove the steeping grains and thoroughly dissolve the malt extract in the resulting wort. Top up with water to desired boil volume and proceed with the boil as above."
"Nearly Nirvana Pale Ale","AMERICAN PALE ALE","2023.0","https://www.homebrewersassociation.org/homebrew-recipe/nearly-nirvana-pale-ale/","['Extract', 'All-Grain', 'Ale']","Beer","No Medal","5.0","1.06","1.013","6.2","45.0","6.0","72.0","[{""name"": ""Rahr 2-row malt"", ""amount"": 11.0, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""Simpsons Crystal Light malt"", ""amount"": 8.0, ""unit"": ""oz"", ""color_L"": null}]","[{""name"": ""Cascade"", ""amount"": 1.0, ""unit"": ""oz"", ""alpha_acid_pct"": null, ""time_min"": 75, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Cascade"", ""amount"": 1.0, ""unit"": ""oz"", ""alpha_acid_pct"": null, ""time_min"": 60, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Cascade"", ""amount"": 1.0, ""unit"": ""oz"", ""alpha_acid_pct"": null, ""time_min"": 15, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Cascade"", ""amount"": 1.0, ""unit"": ""oz"", ""alpha_acid_pct"": null, ""time_min"": 5, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}]","{""name"": ""LalBrew BRY-97"", ""brand"": ""Lallemand"", ""product_code"": null, ""starter_volume_L"": null}","[]","2","4","0","Single Infusion","[{""name"": ""Mash"", ""temp_F"": 157.0, ""time_min"": 60}]","1","75.0","[{""stage"": ""Primary"", ""start_temp_F"": 66.0, ""end_temp_F"": 70.0, ""duration_days"": 14, ""ramp_per_day_F"": null}]","1","","","","","","","","","",""
"Opus Coffee Baltic Porter","COFFEE BEER","2019.0","https://www.homebrewersassociation.org/homebrew-recipe/opus-coffee-baltic-porter/","['Extract', 'All-Grain', 'Lager', 'Winning-Medal']","Beer","NORMAL MEDAL","5.5","1.089","1.027","8.2","35.0","34.0","","[{""name"": ""Maris Otter malt"", ""amount"": 8.0, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""Weyermann Munich Type II malt"", ""amount"": 5.0, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""Vienna malt"", ""amount"": 4.0, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""Weyermann CARAMUNICH Type III malt"", ""amount"": 12.0, ""unit"": ""oz"", ""color_L"": null}, {""name"": ""Weyermann CARAFA Type 2 malt"", ""amount"": 8.0, ""unit"": ""oz"", ""color_L"": null}, {""name"": ""chocolate malt"", ""amount"": 8.0, ""unit"": ""oz"", ""color_L"": 450.0}, {""name"": ""flaked oats"", ""amount"": 8.0, ""unit"": ""oz"", ""color_L"": null}, {""name"": ""rice hulls"", ""amount"": 8.0, ""unit"": ""oz"", ""color_L"": null}]","[{""name"": ""Magnum"", ""amount"": 0.8, ""unit"": ""oz"", ""alpha_acid_pct"": 11.1, ""time_min"": 0, ""usage"": ""first wort"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Hallertauer Mittelfr\\u00fch"", ""amount"": 1.0, ""unit"": ""oz"", ""alpha_acid_pct"": 4.0, ""time_min"": 90, ""usage"": ""whirlpool"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}]","{""name"": ""White Labs WLP833 German Bock Lager Yeast"", ""brand"": ""White Labs"", ""product_code"": null, ""starter_volume_L"": 3.0}","[{""item"": ""Whirlfloc"", ""amount"": 1.0, ""unit"": ""tablet"", ""category"": ""processing_aid"", ""timing"": ""15 min"", ""purpose"": null, ""notes"": null}, {""item"": ""Opus Coffee Cold Brew Concentrate"", ""amount"": 16.0, ""unit"": ""oz"", ""category"": ""coffee"", ""timing"": ""packaging"", ""purpose"": ""flavor"", ""notes"": null}]","8","2","2","single_infusion","[{""name"": ""Mash"", ""temp_F"": 156.0, ""time_min"": 60}]","1","90.0","[{""stage"": ""Primary"", ""start_temp_F"": 48.0, ""end_temp_F"": 48.0, ""duration_days"": 14, ""ramp_per_day_F"": null}, {""stage"": ""Diacetyl Rest"", ""start_temp_F"": 48.0, ""end_temp_F"": 65.0, ""duration_days"": 2, ""ramp_per_day_F"": null}, {""stage"": ""Cold Crash"", ""start_temp_F"": 65.0, ""end_temp_F"": 33.0, ""duration_days"": 2, ""ramp_per_day_F"": null}, {""stage"": ""Lagering"", ""start_temp_F"": 33.0, ""end_temp_F"": 33.0, ""duration_days"": 28, ""ramp_per_day_F"": null}]","4","","","","","","","","","","Replace all but 2 lb. (907 g) of the Maris Otter malt with 4.5 lb. (2.04 kg) Maris Otter liquid malt extract. Replace Munich malt with 3.4 lb. (1.53 kg) Munich liquid malt extract and Vienna malt with 2.8 lb. (1.27 kg) Vienna liquid malt extract. Mash 2 lb. (907 g) Maris Otter with remaining grains at 156°F (69°C) for 45 minutes. Drain, rinse grains with reverse osmosis (RO) water, and dissolve extracts into resulting wort. Top off to desired boil volume with RO water and proceed as above."
"LTHD22 Hoppy Amber Ale","AMBER ALE","2022.0","https://www.homebrewersassociation.org/homebrew-recipe/lthd22-hoppy-amber-ale/","['Extract', 'Ale']","Beer","No Medal","1.0","","","4.0","60.0","14.0","","[{""name"": ""Pilsner dry malt extract"", ""amount"": 0.88, ""unit"": ""oz"", ""color_L"": null}, {""name"": ""Pilsner dry malt extract"", ""amount"": 400.0, ""unit"": ""g"", ""color_L"": null}, {""name"": ""Pale dry malt extract"", ""amount"": 10.0, ""unit"": ""oz"", ""color_L"": null}, {""name"": ""Pale dry malt extract"", ""amount"": 280.0, ""unit"": ""g"", ""color_L"": null}, {""name"": ""Crystal 40 malt"", ""amount"": 5.0, ""unit"": ""oz"", ""color_L"": null}, {""name"": ""Crystal 80 malt"", ""amount"": 5.0, ""unit"": ""oz"", ""color_L"": null}]","[{""name"": ""Nugget"", ""amount"": 0.4, ""unit"": ""oz"", ""alpha_acid_pct"": null, ""time_min"": 60, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Amarillo"", ""amount"": 0.25, ""unit"": ""oz"", ""alpha_acid_pct"": null, ""time_min"": 15, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""East Kent Goldings"", ""amount"": 0.25, ""unit"": ""oz"", ""alpha_acid_pct"": null, ""time_min"": 0, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}]","{""name"": ""dry ale yeast (e.g., Mangrove Jack\\u2019s M42 New World Strong Ale)"", ""brand"": null, ""product_code"": null, ""starter_volume_L"": null}","[{""item"": ""corn sugar (for bottling)"", ""amount"": 0.8, ""unit"": ""oz"", ""category"": ""sugar"", ""timing"": ""bottling"", ""purpose"": ""priming"", ""notes"": null}]","6","3","1","","[]","0","60.0","[]","0","","","","","","","","","",""
"Star Gazer Hazy Double IPA","IMPERIAL / DOUBLE IPA","2021.0","https://www.homebrewersassociation.org/homebrew-recipe/star-gazer-hazy-double-ipa-big-brew-2021/","['Extract', 'All-Grain', 'Ale']","Beer","No Medal","5.0","1.064","1.012","7.0","35.0","","","[{""name"": ""Rahr North Star Pils \\u2122 Malt"", ""amount"": 6.5, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""Rahr Red Wheat Malt"", ""amount"": 3.25, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""flaked oats"", ""amount"": 1.5, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""Weyermann\\u00ae Acidulated Malt"", ""amount"": 6.0, ""unit"": ""oz"", ""color_L"": null}]","[{""name"": ""Polaris"", ""amount"": 0.5, ""unit"": ""oz"", ""alpha_acid_pct"": 20.0, ""time_min"": 60, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Zamba\\u2122"", ""amount"": 0.5, ""unit"": ""oz"", ""alpha_acid_pct"": 10.0, ""time_min"": 60, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Polaris"", ""amount"": 1.0, ""unit"": ""oz"", ""alpha_acid_pct"": 20.0, ""time_min"": null, ""usage"": ""whirlpool"", ""whirlpool_temp_F"": 158.0, ""whirlpool_duration_min"": 10, ""biotransformation"": null, ""notes"": null}, {""name"": ""Zamba\\u2122"", ""amount"": 1.0, ""unit"": ""oz"", ""alpha_acid_pct"": 10.0, ""time_min"": null, ""usage"": ""whirlpool"", ""whirlpool_temp_F"": 158.0, ""whirlpool_duration_min"": 10, ""biotransformation"": null, ""notes"": null}, {""name"": ""Polaris"", ""amount"": 1.5, ""unit"": ""oz"", ""alpha_acid_pct"": 20.0, ""time_min"": null, ""usage"": ""dry hop"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Zamba\\u2122"", ""amount"": 1.5, ""unit"": ""oz"", ""alpha_acid_pct"": 10.0, ""time_min"": null, ""usage"": ""dry hop"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}]","{""name"": ""Fermentis SafAle K-97"", ""brand"": ""Fermentis"", ""product_code"": ""SafAle K-97"", ""starter_volume_L"": null}","[{""item"": ""sucrose"", ""amount"": 1.0, ""unit"": ""lb"", ""category"": ""sugar"", ""timing"": ""60 min"", ""purpose"": ""increase wort gravity"", ""notes"": null}]","4","6","1","Single Infusion","[{""name"": null, ""temp_F"": 154.0, ""time_min"": 60}]","1","70.0","[{""stage"": ""Primary"", ""start_temp_F"": 68.0, ""end_temp_F"": null, ""duration_days"": null, ""ramp_per_day_F"": null}]","1","","","","","","","","","",""
"Dark Inception Imperial Porter","PORTER","2022.0","https://www.homebrewersassociation.org/homebrew-recipe/dark-inception-imperial-porter/","['Extract', 'All-Grain', 'Ale']","Beer","NHC GOLD","5.0","1.085","1.023","8.4","20.0","40.0","65.0","[{""name"": ""Briess CBW\\u00ae Pale Ale LME"", ""amount"": 6.6, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""Briess CBW\\u00ae Traditional Dark DME"", ""amount"": 4.0, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""Simpsons DRC\\u2122 Double Roasted Crystal 105-120\\u00b0L"", ""amount"": 0.5, ""unit"": ""lb"", ""color_L"": 120.0}, {""name"": ""Weyermann\\u00ae Munich Type 2 10\\u00b0L"", ""amount"": 0.5, ""unit"": ""lb"", ""color_L"": 10.0}, {""name"": ""Simpsons Chocolate Malt 400-500\\u00b0L"", ""amount"": 0.5, ""unit"": ""lb"", ""color_L"": 500.0}, {""name"": ""Simpsons Black Malt 550-700\\u00b0L"", ""amount"": 0.13, ""unit"": ""lb"", ""color_L"": 700.0}, {""name"": ""Weyermann\\u00ae Chocolate Wheat Malt 375-450\\u00b0L"", ""amount"": 0.13, ""unit"": ""lb"", ""color_L"": 450.0}, {""name"": ""Maltodextrin"", ""amount"": 1.0, ""unit"": ""lb"", ""color_L"": null}]","[{""name"": ""Cascade"", ""amount"": 1.0, ""unit"": ""oz"", ""alpha_acid_pct"": 6.0, ""time_min"": 60, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Cascade"", ""amount"": 0.5, ""unit"": ""oz"", ""alpha_acid_pct"": 6.0, ""time_min"": 15, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}]","{""name"": ""LalBrew\\u00ae BRY-97 West Coast Ale Yeast"", ""brand"": ""Lallemand"", ""product_code"": ""BRY-97"", ""starter_volume_L"": null}","[{""item"": ""Maltodextrin"", ""amount"": 1.0, ""unit"": ""lb"", ""category"": ""sugar"", ""timing"": ""fermentation"", ""purpose"": ""body"", ""notes"": null}, {""item"": ""Boiron Raspberry Puree"", ""amount"": 2.0, ""unit"": ""L"", ""category"": ""fruit"", ""timing"": ""fermentation"", ""purpose"": ""flavor"", ""notes"": null}, {""item"": ""Cacao Nibs"", ""amount"": 7.8, ""unit"": ""oz"", ""category"": ""spice"", ""timing"": ""secondary/infusion"", ""purpose"": ""flavor"", ""notes"": null}, {""item"": ""Vanilla Beans"", ""amount"": 2.0, ""unit"": ""beans"", ""category"": ""spice"", ""timing"": ""secondary/infusion"", ""purpose"": ""flavor"", ""notes"": ""Soaked in bourbon for 1 week""}, {""item"": ""Yeast Nutrient"", ""amount"": 1.0, ""unit"": ""Tbsp"", ""category"": ""processing_aid"", ""timing"": ""fermentation"", ""purpose"": ""nutrients"", ""notes"": ""optional""}]","8","2","5","","[]","0","90.0","[{""stage"": ""Primary"", ""start_temp_F"": 64.0, ""end_temp_F"": 72.0, ""duration_days"": 14, ""ramp_per_day_F"": null}, {""stage"": ""Raspberry addition"", ""start_temp_F"": null, ""end_temp_F"": null, ""duration_days"": 7, ""ramp_per_day_F"": null}, {""stage"": ""Secondary/Vanilla infusion"", ""start_temp_F"": null, ""end_temp_F"": null, ""duration_days"": 7, ""ramp_per_day_F"": null}]","3","","","","","","","","","",""
