recipe_id,recipe_title,style,style_group,year,stage_number,stage,start_temp_F,end_temp_F,duration_days,ramp_per_day_F
0,Big Blimp! Barleywine (2019),UK/US STRONG ALE,STRONG_ALE,2019.0,1,Primary,,,21.0,
0,Big Blimp! Barleywine (2019),UK/US STRONG ALE,STRONG_ALE,2019.0,2,Dry Hop,,,5.0,
1,Freya’s Locks Blonde Ale,BLONDE ALE,BLONDE_PALE,,1,Primary,68.0,68.0,7.0,
1,Freya’s Locks Blonde Ale,BLONDE ALE,BLONDE_PALE,,2,Secondary,68.0,68.0,3.0,
2,Lines on the Map English Strong Ale,UK/US STRONG ALE,STRONG_ALE,2023.0,1,primary,70.0,70.0,14.0,
2,Lines on the Map English Strong Ale,UK/US STRONG ALE,STRONG_ALE,2023.0,2,dry hopping,70.0,70.0,5.0,
3,Wee Heavy/Strong Scotch Ale,AMBER ALE,AMBER_ALE,2017.0,1,primary,63.0,67.0,4.0,
3,Wee Heavy/Strong Scotch Ale,AMBER ALE,AMBER_ALE,2017.0,2,primary,67.0,67.0,14.0,
3,Wee Heavy/Strong Scotch Ale,AMBER ALE,AMBER_ALE,2017.0,3,secondary,36.0,36.0,14.0,
4,O’Davey Irish Red Ale,AMBER ALE,AMBER_ALE,2021.0,1,Primary,64.0,64.0,,
5,Nearly Nirvana Pale Ale,AMERICAN PALE ALE,IPA,2023.0,1,Primary,66.0,70.0,14.0,
6,Opus Coffee Baltic Porter,COFFEE BEER,OTHER,2019.0,1,Primary,48.0,48.0,14.0,
6,Opus Coffee Baltic Porter,COFFEE BEER,OTHER,2019.0,2,Diacetyl Rest,48.0,65.0,2.0,
6,Opus Coffee Baltic Porter,COFFEE BEER,OTHER,2019.0,3,Cold Crash,65.0,33.0,2.0,
6,Opus Coffee Baltic Porter,COFFEE BEER,OTHER,2019.0,4,Lagering,33.0,33.0,28.0,
8,Star Gazer Hazy Double IPA,IMPERIAL / DOUBLE IPA,IPA,2021.0,1,Primary,68.0,,,
9,Dark Inception Imperial Porter,PORTER,PORTER,2022.0,1,Primary,64.0,72.0,14.0,
9,Dark Inception Imperial Porter,PORTER,PORTER,2022.0,2,Raspberry addition,,,7.0,
9,Dark Inception Imperial Porter,PORTER,PORTER,2022.0,3,Secondary/Vanilla infusion,,,7.0,
10,Cherry Chica Stout with Julia Herz,STOUT,STOUT,1998.0,1,Primary,,,,
10,Cherry Chica Stout with Julia Herz,STOUT,STOUT,1998.0,2,Secondary,,,,
11,Raison d’Saison with Elizabeth Burgess,SAISON,BELGIAN,,1,Primary,68.0,80.0,,
12,American Pale Ale with Shawna Cormier,AMERICAN PALE ALE,IPA,,1,primary,67.0,,,
13,Kuhn’s Pilsner,GERMAN PILSNER,LAGER,2021.0,1,Primary,66.0,66.0,21.0,
15,Winter Bock,BOCK,LAGER,2011.0,1,Primary,48.0,48.0,9.0,
15,Winter Bock,BOCK,LAGER,2011.0,2,Lower temp,48.0,43.0,4.0,
15,Winter Bock,BOCK,LAGER,2011.0,3,Lagering,39.0,39.0,14.0,
15,Winter Bock,BOCK,LAGER,2011.0,4,Cold lager,32.0,32.0,21.0,
16,Yellow Rose SMaSH,AMERICAN IPA,IPA,2021.0,1,Primary,65.0,,,
16,Yellow Rose SMaSH,AMERICAN IPA,IPA,2021.0,2,Fermentation until SG stabilizes at 1.012,65.0,,,
17,Lucky 13 Dark Mild,MILD,OTHER,2021.0,1,Primary,68.0,68.0,14.0,
19,Black Is Beautiful Imperial Stout (Countdown Brewing Version),IMPERIAL STOUT,STOUT,2021.0,1,Primary,66.0,,21.0,
20,Fuller’s Chiswick Bitter Clone,ENGLISH BITTER,OTHER,2021.0,1,Primary,63.0,68.0,7.0,
20,Fuller’s Chiswick Bitter Clone,ENGLISH BITTER,OTHER,2021.0,2,Secondary,50.0,,21.0,
21,Mad About Saison,BELGIAN ALE,BELGIAN,2018.0,1,primary,68.0,85.0,2.0,8.5
22,Witty Dutchman Witbier,BELGIAN ALE,BELGIAN,2019.0,1,Primary,65.0,65.0,14.0,
22,Witty Dutchman Witbier,BELGIAN ALE,BELGIAN,2019.0,2,Secondary,65.0,65.0,5.0,
22,Witty Dutchman Witbier,BELGIAN ALE,BELGIAN,2019.0,3,Conditioning,68.0,68.0,2.0,
23,Summer Wheat,AMERICAN WHEAT,WHEAT_BEER,2021.0,1,Primary,67.0,67.0,,
24,Em Day’s Pale Ale,AMERICAN PALE ALE,IPA,2021.0,1,Primary,68.0,68.0,14.0,
24,Em Day’s Pale Ale,AMERICAN PALE ALE,IPA,2021.0,2,Dry hop,68.0,72.0,2.0,2.0
26,Janet’s Brown Ale – Big Brew 2021,AMERICAN BROWN ALE,BROWN_ALE,2021.0,1,Primary,68.0,,,
27,Big Bimp! American Barleywine,BARLEYWINE,STRONG_ALE,2019.0,1,Primary,62.0,,21.0,
27,Big Bimp! American Barleywine,BARLEYWINE,STRONG_ALE,2019.0,2,Dry Hop,,,5.0,
28,Baltic Bliss,PORTER,PORTER,2021.0,1,Primary,60.0,62.0,,
28,Baltic Bliss,PORTER,PORTER,2021.0,2,Diacetyl Rest,60.0,65.0,2.0,
29,Easy Peasy American Lager,PALE LAGER,LAGER,2021.0,1,Primary,50.0,,21.0,
30,Full Stop Stout,IRISH STOUT,STOUT,2021.0,1,Primary,64.0,64.0,,
31,Old School Barleywine,UK/US STRONG ALE,STRONG_ALE,,1,Primary,68.0,68.0,9.0,
