recipe_id,recipe_title,style,style_group,year,hop_name,hop_name_normalized,amount_oz,alpha_acid_pct,usage,time_min,hop_type,batch_size_gal,oz_per_gal,oz_per_liter,biotransformation
0,Big Blimp! Barleywine (2019),UK/US STRONG ALE,STRONG_ALE,2019.0,Cascade,Cascade,0.75,5.75,fwh,0.0,bittering,5.5,0.13636363636363635,0.036023478662453035,
0,Big Blimp! Barleywine (2019),UK/US STRONG ALE,STRONG_ALE,2019.0,Chinook,Chinook,0.75,12.8,fwh,0.0,bittering,5.5,0.13636363636363635,0.036023478662453035,
0,Big Blimp! Barleywine (2019),UK/US STRONG ALE,STRONG_ALE,2019.0,Centennial,Centennial,0.75,10.0,fwh,0.0,bittering,5.5,0.13636363636363635,0.036023478662453035,
0,Big Blimp! Barleywine (2019),UK/US STRONG ALE,STRONG_ALE,2019.0,Cascade,Cascade,1.25,5.75,boil,1.0,aroma,5.5,0.22727272727272727,0.06003913110408839,
0,Big Blimp! Barleywine (2019),UK/US STRONG ALE,STRONG_ALE,2019.0,Chinook,Chinook,1.25,12.8,boil,1.0,aroma,5.5,0.22727272727272727,0.06003913110408839,
0,Big Blimp! Barleywine (2019),UK/US STRONG ALE,STRONG_ALE,2019.0,Centennial,Centennial,1.25,10.0,boil,1.0,aroma,5.5,0.22727272727272727,0.06003913110408839,
0,Big Blimp! Barleywine (2019),UK/US STRONG ALE,STRONG_ALE,2019.0,Cascade,Cascade,1.0,5.75,dry hop,120.0,aroma,5.5,0.18181818181818182,0.04803130488327072,
0,Big Blimp! Barleywine (2019),UK/US STRONG ALE,STRONG_ALE,2019.0,Chinook,Chinook,2.0,12.8,dry hop,120.0,aroma,5.5,0.36363636363636365,0.09606260976654143,
0,Big Blimp! Barleywine (2019),UK/US STRONG ALE,STRONG_ALE,2019.0,Centennial,Centennial,1.0,10.0,dry hop,120.0,aroma,5.5,0.18181818181818182,0.04803130488327072,
1,Freya’s Locks Blonde Ale,BLONDE ALE,BLONDE_PALE,,Summit,Summit,0.33,17.0,boil,60.0,bittering,5.0,0.066,0.017435363672627272,
1,Freya’s Locks Blonde Ale,BLONDE ALE,BLONDE_PALE,,Willamette,Willamette,0.5,5.0,boil,0.0,aroma,5.0,0.1,0.026417217685798897,
2,Lines on the Map English Strong Ale,UK/US STRONG ALE,STRONG_ALE,2023.0,Goldings,Goldings,3.0,5.0,boil,60.0,bittering,5.0,0.6,0.15850330611479335,
2,Lines on the Map English Strong Ale,UK/US STRONG ALE,STRONG_ALE,2023.0,Goldings,Goldings,1.0,5.0,flameout,0.0,aroma,5.0,0.2,0.05283443537159779,
2,Lines on the Map English Strong Ale,UK/US STRONG ALE,STRONG_ALE,2023.0,Goldings,Goldings,1.0,5.0,dry hop,,aroma,5.0,0.2,0.05283443537159779,
