recipe_id,recipe_title,style,style_group,year,malt_name,malt_name_normalized,amount_lb,color_L,malt_type,pct_of_grist
0,Big Blimp! Barleywine (2019),UK/US STRONG ALE,STRONG_ALE,2019.0,Maris Otter pale malt,Maris Otter pale,19.0,,base,86.36169779526473
0,Big Blimp! Barleywine (2019),UK/US STRONG ALE,STRONG_ALE,2019.0,40\u00b0L crystal malt,40\u00b0L crystal,1.000899486763435,,crystal,4.549440999963124
0,Big Blimp! Barleywine (2019),UK/US STRONG ALE,STRONG_ALE,2019.0,dextrose,dextrose,1.000899486763435,,adjunct,4.549440999963124
0,Big Blimp! Barleywine (2019),UK/US STRONG ALE,STRONG_ALE,2019.0,80\u00b0L crystal malt,80\u00b0L crystal,0.5004497433817175,,crystal,2.274720499981562
0,Big Blimp! Barleywine (2019),UK/US STRONG ALE,STRONG_ALE,2019.0,Special B malt,Special B,0.24912255948076686,,specialty,1.132349852413729
0,Big Blimp! Barleywine (2019),UK/US STRONG ALE,STRONG_ALE,2019.0,dextrin malt,dextrin,0.24912255948076686,,specialty,1.132349852413729
1,Freya’s Locks Blonde Ale,BLONDE ALE,BLONDE_PALE,,Pilsner malt,Pilsner,2.9,1.3,base,72.8643216080402
1,Freya’s Locks Blonde Ale,BLONDE ALE,BLONDE_PALE,,Vienna malt,Vienna,0.75,3.0,base,18.84422110552764
1,Freya’s Locks Blonde Ale,BLONDE ALE,BLONDE_PALE,,light crystal or Cara malt,light crystal or Cara,0.33,10.0,crystal,8.291457286432161
2,Lines on the Map English Strong Ale,UK/US STRONG ALE,STRONG_ALE,2023.0,English pale ale malt,English pale ale,9.0,3.0,base,62.60869565217392
2,Lines on the Map English Strong Ale,UK/US STRONG ALE,STRONG_ALE,2023.0,crystal malt,crystal,0.375,70.0,crystal,2.608695652173913
2,Lines on the Map English Strong Ale,UK/US STRONG ALE,STRONG_ALE,2023.0,chocolate malt,chocolate,0.3125,375.0,roast,2.1739130434782608
2,Lines on the Map English Strong Ale,UK/US STRONG ALE,STRONG_ALE,2023.0,black malt,black,0.1875,500.0,roast,1.3043478260869565
2,Lines on the Map English Strong Ale,UK/US STRONG ALE,STRONG_ALE,2023.0,light liquid malt extract,light liquid malt extract,4.0,,specialty,27.82608695652174
2,Lines on the Map English Strong Ale,UK/US STRONG ALE,STRONG_ALE,2023.0,sucrose (cane sugar),sucrose (cane sugar),0.5,,adjunct,3.4782608695652173
3,Wee Heavy/Strong Scotch Ale,AMBER ALE,AMBER_ALE,2017.0,Golden Promise pale malt,Golden Promise pale,18.25,,base,97.33333333333334
3,Wee Heavy/Strong Scotch Ale,AMBER ALE,AMBER_ALE,2017.0,roast barley,roast barley,0.5,,roast,2.666666666666667
4,O’Davey Irish Red Ale,AMBER ALE,AMBER_ALE,2021.0,pale ale malt,pale ale,10.0,,base,91.95402298850574
4,O’Davey Irish Red Ale,AMBER ALE,AMBER_ALE,2021.0,45\u00b0L crystal malt,45\u00b0L crystal,0.375,45.0,crystal,3.4482758620689653
4,O’Davey Irish Red Ale,AMBER ALE,AMBER_ALE,2021.0,160\u00b0L crystal malt,160\u00b0L crystal,0.25,160.0,crystal,2.2988505747126435
4,O’Davey Irish Red Ale,AMBER ALE,AMBER_ALE,2021.0,80\u00b0L crystal malt,80\u00b0L crystal,0.125,80.0,crystal,1.1494252873563218
4,O’Davey Irish Red Ale,AMBER ALE,AMBER_ALE,2021.0,roasted barley,roasted barley,0.125,550.0,roast,1.1494252873563218
5,Nearly Nirvana Pale Ale,AMERICAN PALE ALE,IPA,2023.0,Rahr 2-row malt,Rahr 2-row,11.0,,base,95.65217391304348
5,Nearly Nirvana Pale Ale,AMERICAN PALE ALE,IPA,2023.0,Simpsons Crystal Light malt,Simpsons Crystal Light,0.5,,crystal,4.3478260869565215
6,Opus Coffee Baltic Porter,COFFEE BEER,OTHER,2019.0,Maris Otter malt,Maris Otter,8.0,,base,40.50632911392405
6,Opus Coffee Baltic Porter,COFFEE BEER,OTHER,2019.0,Weyermann Munich Type II malt,Weyermann Munich Type II,5.0,,base,25.31645569620253
6,Opus Coffee Baltic Porter,COFFEE BEER,OTHER,2019.0,Vienna malt,Vienna,4.0,,base,20.253164556962027
6,Opus Coffee Baltic Porter,COFFEE BEER,OTHER,2019.0,Weyermann CARAMUNICH Type III malt,Weyermann CARAMUNICH Type III,0.75,,base,3.79746835443038
6,Opus Coffee Baltic Porter,COFFEE BEER,OTHER,2019.0,Weyermann CARAFA Type 2 malt,Weyermann CARAFA Type 2,0.5,,crystal,2.5316455696202533
6,Opus Coffee Baltic Porter,COFFEE BEER,OTHER,2019.0,chocolate malt,chocolate,0.5,450.0,roast,2.5316455696202533
6,Opus Coffee Baltic Porter,COFFEE BEER,OTHER,2019.0,flaked oats,flaked oats,0.5,,adjunct,2.5316455696202533
6,Opus Coffee Baltic Porter,COFFEE BEER,OTHER,2019.0,rice hulls,rice hulls,0.5,,adjunct,2.5316455696202533
7,LTHD22 Hoppy Amber Ale,AMBER ALE,AMBER_ALE,2022.0,Pilsner dry malt extract,Pilsner dry malt extract,0.055,,base,1.9613824439621077
7,LTHD22 Hoppy Amber Ale,AMBER ALE,AMBER_ALE,2022.0,Pilsner dry malt extract,Pilsner dry malt extract,0.881849768073511,,base,31.448084605662558
7,LTHD22 Hoppy Amber Ale,AMBER ALE,AMBER_ALE,2022.0,Pale dry malt extract,Pale dry malt extract,0.625,,base,22.288436863205767
7,LTHD22 Hoppy Amber Ale,AMBER ALE,AMBER_ALE,2022.0,Pale dry malt extract,Pale dry malt extract,0.6172948376514578,,base,22.013659223963796
7,LTHD22 Hoppy Amber Ale,AMBER ALE,AMBER_ALE,2022.0,Crystal 40 malt,Crystal 40,0.3125,,crystal,11.144218431602884
7,LTHD22 Hoppy Amber Ale,AMBER ALE,AMBER_ALE,2022.0,Crystal 80 malt,Crystal 80,0.3125,,crystal,11.144218431602884
8,Star Gazer Hazy Double IPA,IMPERIAL / DOUBLE IPA,IPA,2021.0,Rahr North Star Pils \u2122 Malt,Rahr North Star Pils \u2122,6.5,,specialty,55.91397849462365
8,Star Gazer Hazy Double IPA,IMPERIAL / DOUBLE IPA,IPA,2021.0,Rahr Red Wheat Malt,Rahr Red Wheat,3.25,,wheat,27.956989247311824
8,Star Gazer Hazy Double IPA,IMPERIAL / DOUBLE IPA,IPA,2021.0,flaked oats,flaked oats,1.5,,adjunct,12.903225806451612
8,Star Gazer Hazy Double IPA,IMPERIAL / DOUBLE IPA,IPA,2021.0,Weyermann\u00ae Acidulated Malt,Weyermann\u00ae Acidulated,0.375,,specialty,3.225806451612903
9,Dark Inception Imperial Porter,PORTER,PORTER,2022.0,Briess CBW\u00ae Pale Ale LME,Briess CBW\u00ae Pale Ale LME,6.6,,base,49.40119760479041
9,Dark Inception Imperial Porter,PORTER,PORTER,2022.0,Briess CBW\u00ae Traditional Dark DME,Briess CBW\u00ae Traditional Dark DME,4.0,,specialty,29.94011976047904
9,Dark Inception Imperial Porter,PORTER,PORTER,2022.0,Simpsons DRC\u2122 Double Roasted Crystal 105-120\u00b0L,Simpsons DRC\u2122 Double Roasted Crystal 105-120\u00b0L,0.5,120.0,crystal,3.74251497005988
9,Dark Inception Imperial Porter,PORTER,PORTER,2022.0,Weyermann\u00ae Munich Type 2 10\u00b0L,Weyermann\u00ae Munich Type 2 10\u00b0L,0.5,10.0,base,3.74251497005988
9,Dark Inception Imperial Porter,PORTER,PORTER,2022.0,Simpsons Chocolate Malt 400-500\u00b0L,Simpsons Chocolate Malt 400-500\u00b0L,0.5,500.0,roast,3.74251497005988
9,Dark Inception Imperial Porter,PORTER,PORTER,2022.0,Simpsons Black Malt 550-700\u00b0L,Simpsons Black Malt 550-700\u00b0L,0.13,700.0,roast,0.9730538922155687
9,Dark Inception Imperial Porter,PORTER,PORTER,2022.0,Weyermann\u00ae Chocolate Wheat Malt 375-450\u00b0L,Weyermann\u00ae Chocolate Wheat Malt 375-450\u00b0L,0.13,450.0,roast,0.9730538922155687
9,Dark Inception Imperial Porter,PORTER,PORTER,2022.0,Maltodextrin,Maltodextrin,1.0,,specialty,7.48502994011976
10,Cherry Chica Stout with Julia Herz,STOUT,STOUT,1998.0,dark liquid malt extract,dark liquid malt extract,11.5,,specialty,71.875
10,Cherry Chica Stout with Julia Herz,STOUT,STOUT,1998.0,pale liquid malt extract,pale liquid malt extract,2.5,,base,15.625
10,Cherry Chica Stout with Julia Herz,STOUT,STOUT,1998.0,English Crystal 150L,English Crystal 150L,1.0,,crystal,6.25
10,Cherry Chica Stout with Julia Herz,STOUT,STOUT,1998.0,Roasted Barley,Roasted Barley,0.5,,roast,3.125
10,Cherry Chica Stout with Julia Herz,STOUT,STOUT,1998.0,Black Barley,Black Barley,0.5,,roast,3.125
11,Raison d’Saison with Elizabeth Burgess,SAISON,BELGIAN,,Pilsener LME,Pilsener LME,7.7,,specialty,76.42679900744417
11,Raison d’Saison with Elizabeth Burgess,SAISON,BELGIAN,,Wheat LME,Wheat LME,0.75,,wheat,7.444168734491316
11,Raison d’Saison with Elizabeth Burgess,SAISON,BELGIAN,,Munich (9 L) LME,Munich (9 L) LME,0.5,,base,4.962779156327544
11,Raison d’Saison with Elizabeth Burgess,SAISON,BELGIAN,,CaraMunich malt,CaraMunich,0.125,,base,1.240694789081886
11,Raison d’Saison with Elizabeth Burgess,SAISON,BELGIAN,,Cane Sugar,Cane Sugar,1.0,,adjunct,9.925558312655088
12,American Pale Ale with Shawna Cormier,AMERICAN PALE ALE,IPA,,Light liquid malt extract,Light liquid malt extract,8.1,,specialty,82.23350253807106
12,American Pale Ale with Shawna Cormier,AMERICAN PALE ALE,IPA,,Munich liquid malt extract,Munich liquid malt extract,0.5,,base,5.0761421319796955
12,American Pale Ale with Shawna Cormier,AMERICAN PALE ALE,IPA,,Wheat liquid malt extract,Wheat liquid malt extract,0.5,,wheat,5.0761421319796955
12,American Pale Ale with Shawna Cormier,AMERICAN PALE ALE,IPA,,Victory malt,Victory,0.75,28.0,specialty,7.614213197969544
13,Kuhn’s Pilsner,GERMAN PILSNER,LAGER,2021.0,Best Malz Pilsner malt,Best Malz Pilsner,7.0,,base,100.0
14,Malzwein Alt Barley Wine,BARLEYWINE,STRONG_ALE,2011.0,light dry malt extract,light dry malt extract,12.0,,specialty,64.86486486486487
14,Malzwein Alt Barley Wine,BARLEYWINE,STRONG_ALE,2011.0,pale malt,pale,2.5,,base,13.513513513513514
14,Malzwein Alt Barley Wine,BARLEYWINE,STRONG_ALE,2011.0,Munich malt,Munich,2.0,,base,10.81081081081081
14,Malzwein Alt Barley Wine,BARLEYWINE,STRONG_ALE,2011.0,crystal malt,crystal,1.0,,crystal,5.405405405405405
14,Malzwein Alt Barley Wine,BARLEYWINE,STRONG_ALE,2011.0,Dextrin malt,Dextrin,0.5,,specialty,2.7027027027027026
14,Malzwein Alt Barley Wine,BARLEYWINE,STRONG_ALE,2011.0,Special roast or Aromatic malt,Special roast or Aromatic,0.5,,roast,2.7027027027027026
15,Winter Bock,BOCK,LAGER,2011.0,Pilsner malt,Pilsner,9.0,,base,49.66887417218544
15,Winter Bock,BOCK,LAGER,2011.0,light Munich malt,light Munich,8.0,,base,44.15011037527595
15,Winter Bock,BOCK,LAGER,2011.0,Caramunich\u00ae malt,Caramunich\u00ae,0.9,,base,4.966887417218544
15,Winter Bock,BOCK,LAGER,2011.0,Carafa\u00ae malt,Carafa\u00ae,0.2,,crystal,1.1037527593818988
15,Winter Bock,BOCK,LAGER,2011.0,Black malt,Black,0.02,,roast,0.11037527593818987
16,Yellow Rose SMaSH,AMERICAN IPA,IPA,2021.0,Dingemans Pale Ale malt,Dingemans Pale Ale,13.0,,base,100.0
17,Lucky 13 Dark Mild,MILD,OTHER,2021.0,Biscuit Malt,Biscuit,0.75,,specialty,10.0
17,Lucky 13 Dark Mild,MILD,OTHER,2021.0,Chocolate Malt,Chocolate,0.5,,roast,6.666666666666667
17,Lucky 13 Dark Mild,MILD,OTHER,2021.0,Special B,Special B,0.25,,specialty,3.3333333333333335
17,Lucky 13 Dark Mild,MILD,OTHER,2021.0,Golden Light dry malt extract,Golden Light dry malt extract,6.0,,specialty,80.0
18,Canoe-Chuck Lager,AMERICAN LAGER,LAGER,2021.0,Briess Pilsner dried malt extract,Briess Pilsner dried malt extract,1.5,,base,30.0
18,Canoe-Chuck Lager,AMERICAN LAGER,LAGER,2021.0,Briess Pilsner dried malt extract,Briess Pilsner dried malt extract,1.5,,base,30.0
18,Canoe-Chuck Lager,AMERICAN LAGER,LAGER,2021.0,rice solids,rice solids,2.0,,adjunct,40.0
19,Black Is Beautiful Imperial Stout (Countdown Brewing Version),IMPERIAL STOUT,STOUT,2021.0,Maris Otter pale ale malt,Maris Otter pale ale,8.5,,base,80.95238095238095
19,Black Is Beautiful Imperial Stout (Countdown Brewing Version),IMPERIAL STOUT,STOUT,2021.0,American roast barley,American roast barley,1.5,,base,14.285714285714285
19,Black Is Beautiful Imperial Stout (Countdown Brewing Version),IMPERIAL STOUT,STOUT,2021.0,British crystal 160 malt,British crystal 160,0.5,,crystal,4.761904761904762
20,Fuller’s Chiswick Bitter Clone,ENGLISH BITTER,OTHER,2021.0,pale malt,pale,7.0,,base,95.23809523809524
20,Fuller’s Chiswick Bitter Clone,ENGLISH BITTER,OTHER,2021.0,crystal malt,crystal,0.35,120.0,crystal,4.761904761904762
21,Mad About Saison,BELGIAN ALE,BELGIAN,2018.0,Pilsner malt,Pilsner,6.0,,base,63.1578947368421
21,Mad About Saison,BELGIAN ALE,BELGIAN,2018.0,light Munich malt,light Munich,2.0,10.0,base,21.052631578947366
21,Mad About Saison,BELGIAN ALE,BELGIAN,2018.0,wheat malt,wheat,1.0,,wheat,10.526315789473683
