recipe_id,recipe_title,style,style_group,year,step_number,step_name,temp_F,time_min
0,Big Blimp! Barleywine (2019),UK/US STRONG ALE,STRONG_ALE,2019.0,1,Mash,150.0,90
1,Freya’s Locks Blonde Ale,BLONDE ALE,BLONDE_PALE,,1,Mash,150.0,45
2,Lines on the Map English Strong Ale,UK/US STRONG ALE,STRONG_ALE,2023.0,1,Mash,150.0,60
3,Wee Heavy/Strong Scotch Ale,AMBER ALE,AMBER_ALE,2017.0,1,mash,152.0,60
4,O’Davey Irish Red Ale,AMBER ALE,AMBER_ALE,2021.0,1,Mash,152.0,60
5,Nearly Nirvana Pale Ale,AMERICAN PALE ALE,IPA,2023.0,1,Mash,157.0,60
6,Opus Coffee Baltic Porter,COFFEE BEER,OTHER,2019.0,1,Mash,156.0,60
8,Star Gazer Hazy Double IPA,IMPERIAL / DOUBLE IPA,IPA,2021.0,1,,154.0,60
13,Kuhn’s Pilsner,GERMAN PILSNER,LAGER,2021.0,1,Mash,150.0,90
15,Winter Bock,BOCK,LAGER,2011.0,1,Decoction rests,104.0,0
15,Winter Bock,BOCK,LAGER,2011.0,2,Decoction rests,126.0,0
15,Winter Bock,BOCK,LAGER,2011.0,3,Decoction rests,144.0,0
15,Winter Bock,BOCK,LAGER,2011.0,4,Decoction rests,155.0,0
15,Winter Bock,BOCK,LAGER,2011.0,5,Decoction rests,162.0,0
16,Yellow Rose SMaSH,AMERICAN IPA,IPA,2021.0,1,Mash,150.0,75
19,Black Is Beautiful Imperial Stout (Countdown Brewing Version),IMPERIAL STOUT,STOUT,2021.0,1,,150.0,60
20,Fuller’s Chiswick Bitter Clone,ENGLISH BITTER,OTHER,2021.0,1,Mash,149.0,60
21,Mad About Saison,BELGIAN ALE,BELGIAN,2018.0,1,Mash rest,150.0,60
22,Witty Dutchman Witbier,BELGIAN ALE,BELGIAN,2019.0,1,Mash,155.0,60
23,Summer Wheat,AMERICAN WHEAT,WHEAT_BEER,2021.0,1,Mash,152.0,60
