recipe_id,recipe_title,style,year,Ca_ppm,Mg_ppm,Na_ppm,Cl_ppm,SO4_ppm,HCO3_ppm,water_description,SO4_Cl_ratio
0,Big Blimp! Barleywine (2019),UK/US STRONG ALE,2019.0,,,,,,,"De-chlorinated Akron, Ohio, city water with 1 tsp. calcium chloride and 1/2 tsp. gypsum per batch",
1,Freya’s Locks Blonde Ale,BLONDE ALE,,,,,,,,Carbon filter and adjust with distilled water and CaCl₂ as needed for less than 50 ppm carbonates and 100–150 ppm Ca.,
2,Lines on the Map English Strong Ale,UK/US STRONG ALE,2023.0,,,,150.0,70.0,,Carbon filter and adjust with distilled water and CaSO₄ as needed for roughly 70 ppm carbonates and 150–200 ppm Ca.,0.4666666666666667
3,Wee Heavy/Strong Scotch Ale,AMBER ALE,2017.0,,,,,,,,
4,O’Davey Irish Red Ale,AMBER ALE,2021.0,,,,,,,,
5,Nearly Nirvana Pale Ale,AMERICAN PALE ALE,2023.0,,,,,,,,
6,Opus Coffee Baltic Porter,COFFEE BEER,2019.0,,,,,,,,
7,LTHD22 Hoppy Amber Ale,AMBER ALE,2022.0,,,,,,,,
8,Star Gazer Hazy Double IPA,IMPERIAL / DOUBLE IPA,2021.0,,,,,,,,
9,Dark Inception Imperial Porter,PORTER,2022.0,,,,,,,,
10,Cherry Chica Stout with Julia Herz,STOUT,1998.0,,,,,,,"Water Additions: 2 tsp Gypsum, 0.5 tsp Irish Moss",
11,Raison d’Saison with Elizabeth Burgess,SAISON,,,,,,,,,
12,American Pale Ale with Shawna Cormier,AMERICAN PALE ALE,,,,,,,,Approximately 6 gallons of brewing water,
13,Kuhn’s Pilsner,GERMAN PILSNER,2021.0,,,,,,,,
14,Malzwein Alt Barley Wine,BARLEYWINE,2011.0,,,,,,,,
15,Winter Bock,BOCK,2011.0,,,,,,,,
16,Yellow Rose SMaSH,AMERICAN IPA,2021.0,,,,,,,"Mash with 5.9 gal. (22.4 L) water at 150°F (66°C) for 75 minutes, sparge with 4.9 gal. (18.5 L) of 168°F (76°C) water to collect 7.4 gal. (28 L).",
17,Lucky 13 Dark Mild,MILD,2021.0,,,,,,,,
18,Canoe-Chuck Lager,AMERICAN LAGER,2021.0,432.0,,,771.2,,,Very soft municipal water treated with ¼ Campden tablet and 8 g CaCl2,
19,Black Is Beautiful Imperial Stout (Countdown Brewing Version),IMPERIAL STOUT,2021.0,,,,,,,,
20,Fuller’s Chiswick Bitter Clone,ENGLISH BITTER,2021.0,268.0,62.0,30.0,36.0,638.0,141.0,Fuller’s water profile,17.72222222222222
21,Mad About Saison,BELGIAN ALE,2018.0,,,,,,,,
