recipe_id,recipe_title,style,year,yeast_name,yeast_canonical,brand,product_code,primary_temp_F,secondary_temp_F,total_fermentation_days
0,Big Blimp! Barleywine (2019),UK/US STRONG ALE,2019.0,1056 American Ale,1056 American Ale,Wyeast,,,,26
1,Freya’s Locks Blonde Ale,BLONDE ALE,,neutral ale yeast (Chico strain),neutral ale yeast (Chico strain),,,68.0,68.0,10
2,Lines on the Map English Strong Ale,UK/US STRONG ALE,2023.0,English ale yeast starter,English ale yeast starter,,,70.0,,19
3,Wee Heavy/Strong Scotch Ale,AMBER ALE,2017.0,White Labs WLP028 Edinburgh Scottish Ale,White Labs WLP028 Edinburgh Scottish Ale,White Labs,,63.0,36.0,32
4,O’Davey Irish Red Ale,AMBER ALE,2021.0,Lallemand Nottingham Yeast,Lallemand Nottingham Yeast,,,64.0,,0
5,Nearly Nirvana Pale Ale,AMERICAN PALE ALE,2023.0,LalBrew BRY-97,LalBrew BRY-97,Lallemand,,66.0,,14
6,Opus Coffee Baltic Porter,COFFEE BEER,2019.0,White Labs WLP833 German Bock Lager Yeast,White Labs WLP833 German Bock Lager Yeast,White Labs,,48.0,,46
7,LTHD22 Hoppy Amber Ale,AMBER ALE,2022.0,"dry ale yeast (e.g., Mangrove Jack\u2019s M42 New World Strong Ale)","dry ale yeast (e.g., Mangrove Jack\u2019s M42 New World Strong Ale)",,,,,0
8,Star Gazer Hazy Double IPA,IMPERIAL / DOUBLE IPA,2021.0,Fermentis SafAle K-97,Fermentis SafAle K-97,Fermentis,SafAle K-97,68.0,,0
9,Dark Inception Imperial Porter,PORTER,2022.0,LalBrew\u00ae BRY-97 West Coast Ale Yeast,LalBrew\u00ae BRY-97 West Coast Ale Yeast,Lallemand,BRY-97,64.0,,28
10,Cherry Chica Stout with Julia Herz,STOUT,1998.0,English Ale,English Ale,,,,,0
11,Raison d’Saison with Elizabeth Burgess,SAISON,,WLP565 Saison Ale or Wyeast 3724 Belgian Saison,WLP565 Saison Ale or Wyeast 3724 Belgian Saison,,,68.0,,0
12,American Pale Ale with Shawna Cormier,AMERICAN PALE ALE,,"WLP001, 1056, Safale US-05","WLP001, 1056, Safale US-05",,,67.0,,0
13,Kuhn’s Pilsner,GERMAN PILSNER,2021.0,W-34/70,W-34/70,Wyeast,,66.0,,21
15,Winter Bock,BOCK,2011.0,Weihenstephan 34/70,Weihenstephan 34/70,Wyeast or WLP,,48.0,,48
16,Yellow Rose SMaSH,AMERICAN IPA,2021.0,WLP001 California Ale,WLP001 California Ale,White Labs,,65.0,,0
17,Lucky 13 Dark Mild,MILD,2021.0,WLP005 British Ale Yeast or Mangrove Jack\u2019s M36 Liberty Bell Ale Yeast,WLP005 British Ale Yeast or Mangrove Jack\u2019s M36 Liberty Bell Ale Yeast,,,68.0,,14
18,Canoe-Chuck Lager,AMERICAN LAGER,2021.0,Fermentis SafLager W-34/70,Fermentis SafLager W-34/70,Fermentis,,,,0
19,Black Is Beautiful Imperial Stout (Countdown Brewing Version),IMPERIAL STOUT,2021.0,BRY-97 & American West Coast Ale Yeast,BRY-97 & American West Coast Ale Yeast,,,66.0,,21
20,Fuller’s Chiswick Bitter Clone,ENGLISH BITTER,2021.0,London ESB Ale Yeast or London Ale Yeast,London ESB Ale Yeast or London Ale Yeast,,,63.0,50.0,28
21,Mad About Saison,BELGIAN ALE,2018.0,Mad Fermentationist Saison Blend,Mad Fermentationist Saison Blend,,,68.0,,2
22,Witty Dutchman Witbier,BELGIAN ALE,2019.0,Wyeast 3944 Belgian Witbier,Wyeast 3944 Belgian Witbier,Wyeast,3944,65.0,65.0,21
23,Summer Wheat,AMERICAN WHEAT,2021.0,Fermentis SafAle US-05,Fermentis SafAle US-05,Fermentis,,67.0,,0
24,Em Day’s Pale Ale,AMERICAN PALE ALE,2021.0,SafAle US-05,SafAle US-05,Fermentis,unknown,68.0,,16
25,"Quad-Boiled, Non-Stopped, Big Hopped & Pretzel-Topped Double India Pale Ale",SPECIALTY IPA,2006.0,1056 American Ale Yeast,Chico/US-05 (American Ale),Wyeast,1056,,,0
26,Janet’s Brown Ale – Big Brew 2021,AMERICAN BROWN ALE,2021.0,LalBrew BRY-97 West Coast Ale Yeast,LalBrew BRY-97 West Coast Ale Yeast,Lallemand,BRY-97,68.0,,0
27,Big Bimp! American Barleywine,BARLEYWINE,2019.0,Wyeast 1056 American Ale,Chico/US-05 (American Ale),Wyeast,1056,62.0,,26
28,Baltic Bliss,PORTER,2021.0,WLP810 San Francisco Lager,WLP810 San Francisco Lager,,,60.0,,2
29,Easy Peasy American Lager,PALE LAGER,2021.0,SafLager W-34/70,SafLager W-34/70,Fermentis,,50.0,,21
30,Full Stop Stout,IRISH STOUT,2021.0,Imperial A10 Darkness,Imperial A10 Darkness,,,64.0,,0
31,Old School Barleywine,UK/US STRONG ALE,,,,,,68.0,68.0,18
32,Columbus Pale Ale,PALE ALE,,California V Ale,California V Ale,White Labs,WLP051,68.0,68.0,18
33,Zek’s Porter,Baltic Porter,,"WLP885 Zurich Lager, WLP830 German Lager, Wyeast 2206 Bavarian Lager, or Saflager S-23","WLP885 Zurich Lager, WLP830 German Lager, Wyeast 2206 Bavarian Lager, or Saflager S-23",,,,,0
34,Mad Jack’s Hoppy Amber Ale,AMBER ALE,,Safale S-04,Safale S-04,,,63.0,68.0,10
35,Stale Doughnut Belgian Pale Ale,BELGIAN ALE,2020.0,WLP510 Bastogne Belgian Ale Yeast,WLP510 Bastogne Belgian Ale Yeast,White Labs,WLP510,68.0,,0
36,Kumquat Citra Sour,FRUIT BEER,2020.0,Fermentis SafAle S-04,Fermentis SafAle S-04,Fermentis,S-04,68.0,68.0,180
37,Nilsson American Wheat Ale,WHEAT & RYE BEER,2020.0,Fermentis SafAle K-97,Fermentis SafAle K-97,Fermentis,,,,0
38,Simply Bone Idle Bitter,AMBER ALE,2020.0,Lallemand London ESB,Lallemand London ESB,Lallemand,,,,0
39,West Seattle Amber Ale,AMBER ALE,2020.0,Dry English Ale Yeast,Dry English Ale Yeast,White Labs,WLP007,66.0,66.0,19
40,Surly Coffee Bender,BROWN ALE,2020.0,WLP007 Dry English Ale,WLP007 Dry English Ale,White Labs,,67.0,,0
41,Avocado Saison,BELGIAN ALE,2019.0,Saison yeast,Saison yeast,,,67.0,67.0,14
42,Saison Tropicale,BELGIAN ALE,2012.0,Belgian Style Saison Ale Yeast Blend / Safbrew S-33,Belgian Style Saison Ale Yeast Blend / Safbrew S-33,,,70.0,,21
43,Monroe Weiss,BERLINER WEISSE,2018.0,Fermentis Safale S-04,Fermentis Safale S-04,Fermentis,,90.0,,5
44,Cariño Sour,BERLINER WEISSE,2016.0,Fermentis Safbrew F2,Fermentis Safbrew F2,Fermentis,,85.0,,35
45,Golden Goblet Gruit Ale,HISTORICAL BEER,2011.0,Belgian Strong Ale yeast,Belgian Strong Ale yeast,Wyeast Labs,1338,,,0
46,Dubious Dubbel,BELGIAN ALE,2012.0,WLP500 or Wyeast 1214 Trappist Ale,WLP500 or Wyeast 1214 Trappist Ale,,,68.0,,0
47,Mild Ale #3,AMBER ALE,2013.0,WLP002 or WLP023,WLP002 or WLP023,White Labs,,62.0,,14
48,Quarantine American IPA,AMERICAN IPA,,BRY-97,BRY-97,Lallemand,,,,0
49,Solstice American Stout,AMERICAN STOUT,2020.0,WLP090 San Diego Super Yeast,WLP090 San Diego Super Yeast,White Labs,,65.0,68.0,9
50,One-Ply Rye IPA,AMERICAN IPA,2020.0,Lallemand Nottingham,Lallemand Nottingham,Lallemand,,64.0,,14
51,Tim’s Sweet Stout,STOUT,2019.0,White Labs WLP005 British Ale Yeast,White Labs WLP005 British Ale Yeast,White Labs,,67.0,,0
52,Pangaea Proxima Polar IPA,AMERICAN IPA,2020.0,Lallemand LalBrew Voss Kveik Ale Yeast,Lallemand LalBrew Voss Kveik Ale Yeast,Lallemand,,95.0,,0
53,Espresso Stout,COFFEE BEER,2010.0,Irish Ale,Irish Ale,Wyeast 1084 or White Labs WLP004,,68.0,,0
54,Easy Amber Ale,SPECIALTY IPA,,dry ale yeast,dry ale yeast,Lallemand,Not specified,,,0
55,Tuxedo Speedo Black IPA,IPA,2013.0,American ale yeast,American ale yeast,,,,,0
56,Stone-Faced IPA,AMERICAN IPA,2017.0,Wyeast 1056 American Ale or White Labs WLP001 California Ale or Safale US-05,Wyeast 1056 American Ale or White Labs WLP001 California Ale or Safale US-05,,,64.0,64.0,10
57,Jack’s Classic American Pilsner,AMERICAN PILSNER,2020.0,Wyeast 2124 Bohemian Lager,Wyeast 2124 Bohemian Lager,Wyeast,2124,50.0,,14
58,Double White IPA,IMPERIAL / DOUBLE IPA,2020.0,SafBrew S-33,SafBrew S-33,Fermentis,,66.0,,18
59,Toto Stout,STOUT,2020.0,SafAle US-05,SafAle US-05,Fermentis,,68.0,,14
60,Atahsaia Barleywine,BARLEYWINE,2015.0,Safale US-05,Chico/US-05 (American Ale),Fermentis,US-05,68.0,,14
61,Thames Porter,AMERICAN PORTER,2014.0,London Ale yeast,London Ale yeast,,,68.0,,14
62,Bruce Stott’s Dortmunder Export,HELLES,2007.0,WLP802 Czech Budejovice Lager Yeast,WLP802 Czech Budejovice Lager Yeast,White Labs,WLP802,50.0,50.0,39
63,WTG? Stout,STOUT,2020.0,Fermentis Saflager S-33,Fermentis Saflager S-33,Fermentis,,,,14
65,Little Red Bird Braggot,BRAGGOT,2020.0,Saison yeast,Saison yeast,,,,,0
67,Chess with Checkers,BELGIAN ALE,2019.0,Trappist High Gravity yeast,Trappist High Gravity yeast,Wyeast,3787,68.0,,21
68,Leicht,PALE LAGER,2019.0,Jasper Yeast Augustiner Lager or Omega Augustiner Lager yeast,Jasper Yeast Augustiner Lager or Omega Augustiner Lager yeast,,,54.0,,9
69,Distemper Sour Ale,SOUR ALE,2019.0,WLP540 Abbey IV Ale Yeast,WLP540 Abbey IV Ale Yeast,White Labs,,,,0
70,I Got Your Nukey Brown Ale,BROWN ALE,2020.0,Lallemand Nottingham,Lallemand Nottingham,,,,,0
71,Dodgy Wanker,ENGLISH PALE ALE,2020.0,Wyeast 1968 London ESB Ale,Wyeast 1968 London ESB Ale,Wyeast,1968,,,0
72,Newtonian ESB,ENGLISH PALE ALE,2015.0,London ESB ale yeast,London ESB ale yeast,Wyeast Labs,1968,68.0,,20
73,Majestic Sea Cow American Pale Ale,AMERICAN PALE ALE,2019.0,WLP007,WLP007,White Labs,,,,0
74,Triple-X,STOUT,,WLP006 Bedford British,WLP006 Bedford British,White Labs,WLP006,68.0,,14
75,Ginger Dinger 2017 Dark Lager,DARK LAGER,2017.0,German- or Bavarian-type lager yeast,German- or Bavarian-type lager yeast,,,,,0
76,Rogue Chocolate Stout Clone,SPICE & HERB BEER,2009.0,1764 Pacman Ale or WLP001 California Ale,1764 Pacman Ale or WLP001 California Ale,,,60.0,50.0,14
77,Future Forward Sour Saison,BELGIAN ALE,2019.0,Lallemand Belle Saison and Sato yeast ball,Lallemand Belle Saison and Sato yeast ball,,,73.0,,14
78,Peppermint Porter,COFFEE BEER,2019.0,Nottingham Ale Yeast,Nottingham Ale Yeast,,11 g sachet,64.0,,0
79,Mike’s Mild,BROWN ALE,2019.0,1469 Yorkshire Square Ale Yeast,1469 Yorkshire Square Ale Yeast,Wyeast,1469,67.0,,0
80,Wry Smile Rye IPA,IPA,2019.0,Wyeast 1450 Denny\u2019s Favorite 50,Wyeast 1450 Denny\u2019s Favorite 50,Wyeast,1450,65.0,,0
81,Valhalla Honey Beer,BRAGGOT,2019.0,SafAle S-04 or Wyeast 3787 Trappist High Gravity,SafAle S-04 or Wyeast 3787 Trappist High Gravity,,,65.0,65.0,21
82,Chomolungma Brown Ale,AMERICAN BROWN ALE,2019.0,English ale strain,English ale strain,,,65.0,,7
83,Klosterman,HYBRID BEER,2019.0,WLP830 German Lager,WLP830 German Lager,White Labs,,55.0,,14
84,Holiday Pumpkin Ale,SPICE & HERB BEER,2008.0,White Labs 002 English Ale Yeast,White Labs 002 English Ale Yeast,White Labs,002,68.0,68.0,21
85,Schwarzer Geist Dark Lager,DARK LAGER,2019.0,Wyeast Labs 2124 Bohemian Lager,Wyeast Labs 2124 Bohemian Lager,Wyeast,2124,50.0,,21
86,Barrel-Aged Mark of the Beast Doppelbock,BOCK,2019.0,Omega OYL-113 Mexican Lager,Omega OYL-113 Mexican Lager,,,51.0,,51
87,Four-Two-Oh NEIPA,HAZY / NEW ENGLAND IPA,2019.0,Omega Yeast OYL-052 DIPA Ale,Omega Yeast OYL-052 DIPA Ale,,,66.0,,4
88,Briess RoastOat Red,ENGLISH IPA,2019.0,"Irish Ale Yeast (White Labs WLP004, Wyeast 1084, or Omega OYL-005)","Irish Ale Yeast (White Labs WLP004, Wyeast 1084, or Omega OYL-005)",,,66.0,,0
89,Princesse Beer 1866,HISTORICAL BEER,2019.0,Fermentis SafAle S-33,Fermentis SafAle S-33,Fermentis,,63.0,,14
90,Bjørne Røthe’s Vossaøl,HISTORICAL BEER,2019.0,"Kveik #2 Rivenes (preferred) or Kveik #1 Sigmund\u2019s Voss, Omega Yeast Labs OYL-061 Voss Kveik, The Yeast Bay Sigmund\u2019s Voss Kveik, East Coast Yeast ECY43 Nordic Farmhouse, Inland Island Yeast INIS-441 Norwegian Farmhouse","Kveik #2 Rivenes (preferred) or Kveik #1 Sigmund\u2019s Voss, Omega Yeast Labs OYL-061 Voss Kveik, The Yeast Bay Sigmund\u2019s Voss Kveik, East Coast Yeast ECY43 Nordic Farmhouse, Inland Island Yeast INIS-441 Norwegian Farmhouse",,,,,0
91,Joker’s #1 Light Lager,AMERICAN LAGER,2019.0,WLP840 American Lager Yeast,WLP840 American Lager Yeast,White Labs,,51.0,,19
92,Old Helen Helles Exportbier,HELLES,2019.0,White Labs WLP833 German Bock Lager Yeast,White Labs WLP833 German Bock Lager Yeast,White Labs,WLP833,50.0,,20
93,SunRaker German Pils,GERMAN PILSNER,2019.0,Wyeast 2124 Bohemian Lager,Wyeast 2124 Bohemian Lager,Wyeast,2124,50.0,,16
94,Winnebago International Amber Lager,Amber Lager,2019.0,WLP800 Pilsner Lager Yeast,WLP800 Pilsner Lager Yeast,White Labs,,50.0,,7
95,May the Schwartz Be With You,DARK LAGER,2019.0,Wyeast 2206 Bavarian Lager,Wyeast 2206 Bavarian Lager,Wyeast,,50.0,,16
96,Four the Win (FTW) Belgian Dark Strong,BELGIAN ALE,2019.0,WLP500 Monastery Ale,WLP500 Monastery Ale,White Labs,,67.0,,0
97,Tropic Sun Sour,FRUIT BEER,2019.0,Wyeast 3711 French Saison,Wyeast 3711 French Saison,Wyeast,3711,70.0,65.0,10
98,Richard’s Brownie Batter Imperial Stout,IMPERIAL STOUT,2019.0,Manchester Ale,Manchester Ale,RVA132,,66.0,,36
99,Blootered Bastart Barrel-aged Wee Heavy,AMBER ALE,2019.0,Edinburgh Ale,Scottish Ale,White Labs,WLP028,68.0,,14
100,Catharina’s Passion Sour,FRUIT BEER,2019.0,SafAle US-05,SafAle US-05,Fermentis,,65.0,,5
101,Angie’s Bursting Citra II (AKA Juice),AMERICAN PALE ALE,2017.0,California Ale yeast,Chico/US-05 (American Ale),White Labs,WLP001,68.0,,14
102,Pickelhaube Festbier,MARZEN,2016.0,Bavarian or Munich lager yeast,Bavarian or Munich lager yeast,,,48.0,,70
104,Three Floyds Brewing Zombie Dust IPA Clone,IPA,2019.0,SafAle S-04,SafAle S-04,Fermentis,SafAle S-04,62.0,,17
105,Cigar City Jai Alai IPA Classic Clone,IPA,2019.0,Thames Valley Ale Yeast,Thames Valley Ale Yeast,Wyeast,1275,65.0,,21
106,Curse Stout,CHOCOLATE BEER,2019.0,California Ale Yeast,Chico/US-05 (American Ale),White Labs,WLP001,68.0,,14
107,Boscos Famous Flaming Stone,HISTORICAL BEER,2019.0,Saflager W-34/70,Saflager W-34/70,Fermentis,,48.0,,45
108,Saison Capitale,BELGIAN ALE,2019.0,Belle Saison,Belle Saison,Lallemand,,67.0,,9
109,Tropicalia Catharina Sour,FRUIT BEER,2019.0,Safale US-05,Chico/US-05 (American Ale),Fermentis,US-05,66.0,,12
110,We Don’t Need No Stinkin’ IBUs,AMERICAN PALE ALE,2019.0,Fermentis Saflager S-189 or your favorite ale yeast,Fermentis Saflager S-189 or your favorite ale yeast,,,,,21
111,Blinky Session IPA,IPA,,Cry Havoc or American Ale,Cry Havoc or American Ale,,,,,0
112,Eubayanus Brown Porter,AMERICAN PORTER,2016.0,S. eubayanus,S. eubayanus,,,,,0
113,Austrian Expat Dark Mexican Lager,DARK LAGER,2017.0,Mexican lager yeast,Mexican lager yeast,,,50.0,,42
114,Probably the Best Beer in the…House,HELLES,2019.0,Imperial Pilgrimage or other German lager yeast,Imperial Pilgrimage or other German lager yeast,,,62.0,,10
115,Trappist Tripel,BELGIAN ALE,2019.0,WLP500 Monastery Ale,WLP500 Monastery Ale,White Labs,WLP500,62.0,72.0,12
116,Mt. Brandon Irish Stout,IRISH STOUT,2016.0,WLP007 Dry English Ale Yeast,WLP007 Dry English Ale Yeast,White Labs,,,,0
117,Aztec-style Brown Ale,BROWN ALE,2016.0,,,,,67.0,,14
118,Two Blue Dogs Barleywine,BARLEYWINE,2011.0,California ale yeast,Chico/US-05 (American Ale),White Labs,WLP001,65.0,45.0,104
119,Battlecow Galacticose New England IPA (Partial Mash),HAZY / NEW ENGLAND IPA,2019.0,WLP066 London Fog Ale Yeast,WLP066 London Fog Ale Yeast,White Labs,WLP066,70.0,,14
120,Trans-Atlantic Blonde Ale,BLONDE ALE,2019.0,,,,,62.0,65.0,17
121,Helicious Helles,HELLES,2010.0,Private Collection 2247 European Lager,Private Collection 2247 European Lager,Wyeast,2247,50.0,,35
122,Fortis Exordium Strong English Ale,OLD ALE,2019.0,WLP 007 Dry English Ale Yeast,WLP 007 Dry English Ale Yeast,White Labs,WLP007,,,0
124,Black Hole Sun Baltic Porter,BALTIC PORTER,2019.0,.,.,,WLP830 or 2124 or SafLager W-34/70,50.0,,2
125,Funkwerks Saison,BELGIAN ALE,2019.0,Farmhouse Ale,Farmhouse Ale,Wyeast,3726,65.0,,7
126,Corporal Catbox New England IPA,HAZY / NEW ENGLAND IPA,2019.0,London Ale III,London Ale III,Wyeast,1318,65.0,,10
127,La Bomba Belgian Golden Strong,BELGIAN ALE,2018.0,Inland Island INIS-222 Belgian Gnome Ale,Inland Island INIS-222 Belgian Gnome Ale,,,63.0,,7
128,Gone for a Burton Brown Ale,BROWN ALE,2018.0,Fermentis S-04 SafAle English Ale,Fermentis S-04 SafAle English Ale,,,63.0,65.0,17
129,Deer Crossing Kellerbier,HELLES,2019.0,Wyeast 2308 Munich Lager,Wyeast 2308 Munich Lager,Wyeast,,49.0,,12
130,A2 Brew Tay,IPA,2019.0,Wyeast 1056,Chico/US-05 (American Ale),Wyeast,1056,68.0,68.0,21
131,Amahl’s English Brown Ale,BROWN ALE,2019.0,WLP007 Dry English ale or WLP002 English ale yeast,WLP007 Dry English ale or WLP002 English ale yeast,White Labs,WLP007 or WLP002,64.0,,7
132,Strength In Numbers Dark Vienna Lager,AMBER LAGER,2019.0,WLP029 Kolsch Yeast,WLP029 Kolsch Yeast,White Labs,,58.0,,48
133,Betty’s Brown Ale,AMERICAN BROWN ALE,2019.0,English Ale,English Ale,White Labs,WLP002,66.0,,14
134,Sierra Nevada Resilience IPA,AMERICAN IPA,2018.0,American ale yeast or Imperial Dry Hop yeast of your choice,American ale yeast or Imperial Dry Hop yeast of your choice,,,,,0
135,Puna Coast Black Lager,DARK LAGER,2002.0,lager yeast for German style lagers,lager yeast for German style lagers,,,55.0,,35
136,Stone 7th Anniversary Ale,AMERICAN PALE ALE,2006.0,Dry English Ale Yeast or Nottingham,Dry English Ale Yeast or Nottingham,,,72.0,,0
137,Velveteen Caramel,AMBER ALE,2012.0,Irish Ale,Irish Ale,White Labs,WLP004,,,2
138,Bell’s Two Hearted Ale Clone,AMERICAN IPA,,WLP001 California Ale Yeast,Chico/US-05 (American Ale),White Labs,WLP001,64.0,,14
139,Sun-Dried Sour,FRUITED SOUR,2018.0,French Saison 3711,French Saison 3711,Wyeast,3711,68.0,,120
140,Great Feats of Strength Imperial Stout,IMPERIAL STOUT,2017.0,SafAle US-05,SafAle US-05,Fermentis,,65.0,,28
141,Lupulin Madness IPA,AMERICAN IPA,2018.0,SafAle US-05,SafAle US-05,Fermentis,,64.0,,14
142,Melissa and Patty’s Saison,BELGIAN ALE,2018.0,Wyeast 3711 French Saison,Wyeast 3711 French Saison,Wyeast,3711,65.0,,21
143,Honey Squished IPA,HAZY / NEW ENGLAND IPA,2018.0,WLP008 East Coast Ale,WLP008 East Coast Ale,White Labs,,68.0,68.0,21
144,Charlie’s Visionary Mild,AMERICAN BROWN ALE,2016.0,White Labs WLP862 Cry Havoc yeast,White Labs WLP862 Cry Havoc yeast,White Labs,WLP862,70.0,55.0,14
145,Storm Surge Baltic Porter,BALTIC PORTER,2011.0,,,,,64.0,,14
146,Tropical Haze New England IPA,HAZY / NEW ENGLAND IPA,2018.0,Wyeast 1318 English Ale III,Wyeast 1318 English Ale III,Wyeast,,66.0,,14
147,Alright Already Amber,AMBER ALE,2009.0,WLP001 California Ale or S-05,WLP001 California Ale or S-05,,,,,0
148,The Big Hopper Imperial IPA,IMPERIAL / DOUBLE IPA,2010.0,1056 American ale yeast,1056 American ale yeast,Wyeast,,72.0,72.0,28
149,Corrales Piñon Porter,PORTER,2018.0,Safale S-04,Safale S-04,Fermentis,,,,0
150,Flubadub (partial-mash),AMERICAN PORTER,2018.0,WLP862 Cry Havoc,WLP862 Cry Havoc,White Labs,WLP862,70.0,55.0,7
151,"Tall, Dark and Bready",DUNKELWEIZEN,2018.0,WLP 380 Hefewizen IV or Wyeast German Wheat 3333-PC,WLP 380 Hefewizen IV or Wyeast German Wheat 3333-PC,,,64.0,,0
152,Brother Levonian Saison,BELGIAN ALE,2009.0,White Labs WLP566 Belgian Saison II Yeast,White Labs WLP566 Belgian Saison II Yeast,White Labs,,76.0,76.0,14
153,Quick & Easy Malted Cider,SPECIALTY CIDER & PERRY,2016.0,English ale yeast,English ale yeast,,,68.0,,14
154,Just Rye’te,AMERICAN PALE ALE,2016.0,Wyeast 1272 American Ale II,Wyeast 1272 American Ale II,Wyeast,,68.0,70.0,19
155,Bell’s Brewery Expedition Stout Clone,IMPERIAL STOUT,2002.0,1056 American Ale yeast,Chico/US-05 (American Ale),Wyeast,1056,72.0,55.0,19
156,Jack of All Saisons,BELGIAN ALE,2018.0,Wyeast 3711 French Saison,Wyeast 3711 French Saison,Wyeast,,68.0,,2
157,Smoked Pumpkin Saison,BELGIAN ALE,2018.0,Wyeast 3711 French Saison,Wyeast 3711 French Saison,Wyeast,,68.0,,2
158,Count Orloque Saison,BELGIAN ALE,2018.0,Omega Labs Saisonstein\u2019s Monster,Omega Labs Saisonstein\u2019s Monster,,slurry from 3 L starter,68.0,,2
159,WeldWerks Brewing Juicy Bits NEIPA,HAZY / NEW ENGLAND IPA,2018.0,Wyeast 1318 London ale III yeast,Wyeast 1318 London ale III yeast,Wyeast,1318,67.0,,14
161,Allagash White Clone,BELGIAN ALE,2018.0,WLP400 Belgian Wit ale yeast,WLP400 Belgian Wit ale yeast,White Labs,,63.0,,7
163,Anchor Brewing Old Foghorn,BARLEYWINE,2018.0,American ale yeast (Chico),American ale yeast (Chico),California Ale Yeast,Chico,65.0,,17
164,Sierra Nevada Bigfoot Barleywine (ver. 2),BARLEYWINE,2018.0,Chico American or California ale yeast,Chico American or California ale yeast,,,65.0,,7
165,Caliente Tejano Pepper Cream Ale,CREAM ALE,2018.0,Chico American or California ale yeast,Chico American or California ale yeast,,,65.0,,0
