recipe_id,title,url
0,Big Blimp! Barleywine (2019),https://www.homebrewersassociation.org/homebrew-recipe/big-blimp-barleywine/
1,Freya’s Locks Blonde Ale,https://www.homebrewersassociation.org/homebrew-recipe/freyas-locks-blonde-ale/
2,Lines on the Map English Strong Ale,https://www.homebrewersassociation.org/homebrew-recipe/lines-on-the-map-english-strong-ale/
3,Wee Heavy/Strong Scotch Ale,https://www.homebrewersassociation.org/homebrew-recipe/wee-heavystrong-scotch-ale/
4,O’Davey Irish Red Ale,https://www.homebrewersassociation.org/homebrew-recipe/odavey-irish-red-ale/
5,Nearly Nirvana Pale Ale,https://www.homebrewersassociation.org/homebrew-recipe/nearly-nirvana-pale-ale/
6,Opus Coffee Baltic Porter,https://www.homebrewersassociation.org/homebrew-recipe/opus-coffee-baltic-porter/
7,LTHD22 Hoppy Amber Ale,https://www.homebrewersassociation.org/homebrew-recipe/lthd22-hoppy-amber-ale/
8,Star Gazer Hazy Double IPA,https://www.homebrewersassociation.org/homebrew-recipe/star-gazer-hazy-double-ipa-big-brew-2021/
9,Dark Inception Imperial Porter,https://www.homebrewersassociation.org/homebrew-recipe/dark-inception-imperial-porter/
10,Cherry Chica Stout with Julia Herz,https://www.homebrewersassociation.org/homebrew-recipe/cherry-chica-stout-with-julia-herz/
11,Raison d’Saison with Elizabeth Burgess,https://www.homebrewersassociation.org/homebrew-recipe/raison-dsaison-with-elizabeth-burgess/
12,American Pale Ale with Shawna Cormier,https://www.homebrewersassociation.org/homebrew-recipe/american-pale-ale-with-shawna-cormier/
13,Kuhn’s Pilsner,https://www.homebrewersassociation.org/homebrew-recipe/kuhns-pilsner/
14,Malzwein Alt Barley Wine,https://www.homebrewersassociation.org/homebrew-recipe/malzwein-alt-barley-wine/
15,Winter Bock,https://www.homebrewersassociation.org/homebrew-recipe/winter-bock/
16,Yellow Rose SMaSH,https://www.homebrewersassociation.org/homebrew-recipe/yellow-rose-smash/
17,Lucky 13 Dark Mild,https://www.homebrewersassociation.org/homebrew-recipe/lucky-13-dark-mild/
18,Canoe-Chuck Lager,https://www.homebrewersassociation.org/homebrew-recipe/canoe-chuck-lager/
19,Black Is Beautiful Imperial Stout (Countdown Brewing Version),https://www.homebrewersassociation.org/homebrew-recipe/black-is-beautiful-imperial-stout-countdown-brewing-version/
20,Fuller’s Chiswick Bitter Clone,https://www.homebrewersassociation.org/homebrew-recipe/fullers-chiswick-bitter-clone/
21,Mad About Saison,https://www.homebrewersassociation.org/homebrew-recipe/mad-about-saison/
22,Witty Dutchman Witbier,https://www.homebrewersassociation.org/homebrew-recipe/witty-dutchman-witbier/
23,Summer Wheat,https://www.homebrewersassociation.org/homebrew-recipe/summer-wheat/
24,Em Day’s Pale Ale,https://www.homebrewersassociation.org/homebrew-recipe/em-days-pale-ale/
25,"Quad-Boiled, Non-Stopped, Big Hopped & Pretzel-Topped Double India Pale Ale",https://www.homebrewersassociation.org/homebrew-recipe/quad-boiled-non-stopped-big-hopped-pretzel-topped-double-india-pale-ale/
26,Janet’s Brown Ale – Big Brew 2021,https://www.homebrewersassociation.org/homebrew-recipe/janets-brown-ale-big-brew-2021/
27,Big Bimp! American Barleywine,https://www.homebrewersassociation.org/homebrew-recipe/big-bimp-american-barleywine/
28,Baltic Bliss,https://www.homebrewersassociation.org/homebrew-recipe/baltic-bliss/
29,Easy Peasy American Lager,https://www.homebrewersassociation.org/homebrew-recipe/easy-peasy-american-lager/
30,Full Stop Stout,https://www.homebrewersassociation.org/homebrew-recipe/full-stop-stout/
31,Old School Barleywine,https://www.homebrewersassociation.org/homebrew-recipe/old-school-barleywine/
32,Columbus Pale Ale,https://www.homebrewersassociation.org/homebrew-recipe/columbus-pale-ale/
33,Zek’s Porter,https://www.homebrewersassociation.org/homebrew-recipe/beer-recipe-of-the-week-zeks-porter/
34,Mad Jack’s Hoppy Amber Ale,https://www.homebrewersassociation.org/homebrew-recipe/mad-jacks-hoppy-amber-ale/
35,Stale Doughnut Belgian Pale Ale,https://www.homebrewersassociation.org/homebrew-recipe/stale-doughnut-belgian-pale-ale/
36,Kumquat Citra Sour,https://www.homebrewersassociation.org/homebrew-recipe/kumquat-citra-sour/
37,Nilsson American Wheat Ale,https://www.homebrewersassociation.org/homebrew-recipe/nilsson-american-wheat-ale/
38,Simply Bone Idle Bitter,https://www.homebrewersassociation.org/homebrew-recipe/simply-bone-idle/
39,West Seattle Amber Ale,https://www.homebrewersassociation.org/homebrew-recipe/west-seattle-amber-ale/
40,Surly Coffee Bender,https://www.homebrewersassociation.org/homebrew-recipe/surly-coffee-bender/
41,Avocado Saison,https://www.homebrewersassociation.org/homebrew-recipe/avocado-saison/
42,Saison Tropicale,https://www.homebrewersassociation.org/homebrew-recipe/saison-tropicale/
43,Monroe Weiss,https://www.homebrewersassociation.org/homebrew-recipe/monroe-weiss/
44,Cariño Sour,https://www.homebrewersassociation.org/homebrew-recipe/carino-sour/
45,Golden Goblet Gruit Ale,https://www.homebrewersassociation.org/homebrew-recipe/golden-goblet-gruit-ale/
46,Dubious Dubbel,https://www.homebrewersassociation.org/homebrew-recipe/dubious-dubbel/
47,Mild Ale #3,https://www.homebrewersassociation.org/homebrew-recipe/mild-ale-3/
48,Quarantine American IPA,https://www.homebrewersassociation.org/homebrew-recipe/quarantine-american-ipa/
49,Solstice American Stout,https://www.homebrewersassociation.org/homebrew-recipe/solstice-american-stout/
50,One-Ply Rye IPA,https://www.homebrewersassociation.org/homebrew-recipe/one-ply-rye-ipa/
51,Tim’s Sweet Stout,https://www.homebrewersassociation.org/homebrew-recipe/sweet-stout/
52,Pangaea Proxima Polar IPA,https://www.homebrewersassociation.org/homebrew-recipe/pangaea-proxima-polar-ipa/
53,Espresso Stout,https://www.homebrewersassociation.org/homebrew-recipe/espresso-stout/
54,Easy Amber Ale,https://www.homebrewersassociation.org/homebrew-recipe/easy-amber-ale/
55,Tuxedo Speedo Black IPA,https://www.homebrewersassociation.org/homebrew-recipe/tuxedo-speedo-black-ipa/
56,Stone-Faced IPA,https://www.homebrewersassociation.org/homebrew-recipe/stone-faced-ipa/
57,Jack’s Classic American Pilsner,https://www.homebrewersassociation.org/homebrew-recipe/jacks-classic-american-pilsner/
58,Double White IPA,https://www.homebrewersassociation.org/homebrew-recipe/double-white-ipa/
59,Toto Stout,https://www.homebrewersassociation.org/homebrew-recipe/toto-stout/
60,Atahsaia Barleywine,https://www.homebrewersassociation.org/homebrew-recipe/atahsaia-barleywine/
61,Thames Porter,https://www.homebrewersassociation.org/homebrew-recipe/thames-porter/
62,Bruce Stott’s Dortmunder Export,https://www.homebrewersassociation.org/homebrew-recipe/bruce-stotts-dortmunder-export/
63,WTG? Stout,https://www.homebrewersassociation.org/homebrew-recipe/wtg-stout/
64,Piwo Jopejskie,https://www.homebrewersassociation.org/homebrew-recipe/piwo-jopejskie/
65,Little Red Bird Braggot,https://www.homebrewersassociation.org/homebrew-recipe/little-red-bird-braggot/
66,Traditional Berliner Weisse,https://www.homebrewersassociation.org/homebrew-recipe/traditional-berliner-weisse/
67,Chess with Checkers,https://www.homebrewersassociation.org/homebrew-recipe/chess-with-checkers/
68,Leicht,https://www.homebrewersassociation.org/homebrew-recipe/leicht/
69,Distemper Sour Ale,https://www.homebrewersassociation.org/homebrew-recipe/distemper-sour-ale/
70,I Got Your Nukey Brown Ale,https://www.homebrewersassociation.org/homebrew-recipe/i-got-your-nukey-brown-ale/
71,Dodgy Wanker,https://www.homebrewersassociation.org/homebrew-recipe/dodgy-wanker/
72,Newtonian ESB,https://www.homebrewersassociation.org/homebrew-recipe/newtonian-esb/
73,Majestic Sea Cow American Pale Ale,https://www.homebrewersassociation.org/homebrew-recipe/majestic-sea-cow/
74,Triple-X,https://www.homebrewersassociation.org/homebrew-recipe/beer-recipe-of-the-week-triple-x/
75,Ginger Dinger 2017 Dark Lager,https://www.homebrewersassociation.org/homebrew-recipe/ginger-dinger-2017-dark-lager/
76,Rogue Chocolate Stout Clone,https://www.homebrewersassociation.org/homebrew-recipe/rogue-chocolate-stout-clone/
77,Future Forward Sour Saison,https://www.homebrewersassociation.org/homebrew-recipe/future-forward-sour-saison/
78,Peppermint Porter,https://www.homebrewersassociation.org/homebrew-recipe/peppermint-porter/
79,Mike’s Mild,https://www.homebrewersassociation.org/homebrew-recipe/mikes-mild/
80,Wry Smile Rye IPA,https://www.homebrewersassociation.org/homebrew-recipe/wry-smile-rye-ipa/
81,Valhalla Honey Beer,https://www.homebrewersassociation.org/homebrew-recipe/valhalla-honey-beer/
82,Chomolungma Brown Ale,https://www.homebrewersassociation.org/homebrew-recipe/chomolungma-brown-ale/
83,Klosterman,https://www.homebrewersassociation.org/homebrew-recipe/klosterman/
84,Holiday Pumpkin Ale,https://www.homebrewersassociation.org/homebrew-recipe/holiday-pumpkin-ale/
85,Schwarzer Geist Dark Lager,https://www.homebrewersassociation.org/homebrew-recipe/schwarzer-geist-dark-lager/
86,Barrel-Aged Mark of the Beast Doppelbock,https://www.homebrewersassociation.org/homebrew-recipe/barrel-aged-mark-of-the-beast-doppelbock/
87,Four-Two-Oh NEIPA,https://www.homebrewersassociation.org/homebrew-recipe/four-two-oh-neipa/
88,Briess RoastOat Red,https://www.homebrewersassociation.org/homebrew-recipe/briess-roastoat-red/
89,Princesse Beer 1866,https://www.homebrewersassociation.org/homebrew-recipe/princesse-beer-1866/
90,Bjørne Røthe’s Vossaøl,https://www.homebrewersassociation.org/homebrew-recipe/bjorne-rothes-vossaol/
91,Joker’s #1 Light Lager,https://www.homebrewersassociation.org/homebrew-recipe/jokers-1-light-lager/
92,Old Helen Helles Exportbier,https://www.homebrewersassociation.org/homebrew-recipe/old-helen-helles-exportbier/
93,SunRaker German Pils,https://www.homebrewersassociation.org/homebrew-recipe/sunraker-german-pils/
94,Winnebago International Amber Lager,https://www.homebrewersassociation.org/homebrew-recipe/winnebago-international-amber-lager/
95,May the Schwartz Be With You,https://www.homebrewersassociation.org/homebrew-recipe/may-the-schwartz-be-with-you/
96,Four the Win (FTW) Belgian Dark Strong,https://www.homebrewersassociation.org/homebrew-recipe/four-the-win-ftw-belgian-dark-strong/
97,Tropic Sun Sour,https://www.homebrewersassociation.org/homebrew-recipe/tropic-sun-sour/
98,Richard’s Brownie Batter Imperial Stout,https://www.homebrewersassociation.org/homebrew-recipe/richards-brownie-batter-imperial-stout/
