url,src,description,ingredients,directions,addition
https://www.homebrewersassociation.org/homebrew-recipe/dobry-den-czech-amber-lager/,https://cdn.homebrewersassociation.org/wp-content/uploads/2021/02/04134634/medal-1-1.svg,"Browse hundreds of National Homebrew Competition medal-winning recipes from the best homebrewers around the world.
Jon Serluco of Brooklyn, NY, member of Brewminaries, won a gold medal in Category #05: Amber European Beer with a Czech Amber Lager during the 2021 National Homebrew Competition. Serluco’s Czech Amber Lager was chosen as first out of 185 entries in the category.","Ingredients:
MALTS
4 lb. (1.81 kg) floor-malted Bohemian Pilsner malt
3 lb. (1.36 kg) Maris Otter pale malt
1.5 lb. (680 g) Munich malt, 10°L
8 oz. (227 g) aromatic malt
8 oz. (227 g) crystal malt, 60°L
4 oz. (113 g) chocolate rye malt
HOPS
2 oz. (57 g) Saaz, 3.2% a.a. @ 60 min
1 oz. (28 g) Saaz, 3.2% a.a. @ 10 min
1 oz. (28 g) Saaz, 3.2% a.a. @ 0 min
YEAST
2 L starter Omega Yeast OYL-101 Pilsner 1
ADDITIONAL ITEMS
¼ tsp. CaCl2 @ 60 min
½ tablet Whirlfloc @ 15 min
¼ tsp. yeast nutrient @ 10 min
WATER
Ca 7 ppm, Mg 2 ppm, Na 12 ppm, SO4 4 ppm, Cl 17 ppm, HCO3 24 ppm
Specifications:
Yield: 5 US gal
Original Gravity: 1.049
Final Gravity: 1.006
ABV: 5.70%
IBU: 28
SRM: 13
Efficiency: 79%","Directions:
Mash at 150°F (66°C) for 60 minutes. Lauter and sparge to collect 7.8 gal. (29.5 L) of wort and boil 90 minutes. Add hops, CaCl2, Whirlfloc, and yeast nutrient as indicated. Post-boil volume should be 5.5 gal. (20.8 L).
Chill to 50°F (10°C), add 45 seconds of O2, and pitch yeast starter. Ferment at 50°F (10°C). On day 10, when fermentation is within a few points of final gravity, begin a diacetyl rest by increasing temperature to 60°F (16°C). Hold temperature for 2 days, then increase to 65°F (18°C). Taste to ensure no detectable diacetyl.
On day 14, cold crash to 31°F (–1°C) for 24 hrs. Transfer to keg and force carbonate to 2.5 vol. (5 g/L) CO2.",
https://www.homebrewersassociation.org/homebrew-recipe/tarty-passions-berliner-weisse/,https://cdn.homebrewersassociation.org/wp-content/uploads/2021/02/04134633/medal-2-1.svg,"The following beer recipe is featured in the September/October 2019 issue of Zymurgy magazine. Access this issue along with the archives with Zymurgy Online!
Joseph Daly of Baldwin, New York, won a silver medal in Category #24: Fruit Beer with a Berliner Weisse with Passion Fruit during the 2019 National Homebrew Competition Final Round in Providence, RI. Daly’s Berliner Weisse with Passion Fruit was chosen as the runner-up entry among 299 entries in the category.","Ingredients:
MALTS
4 lb. Pilsner malt (Weyermann)
3 lb. White Wheat (Briess)
0.2 lb. Acid Malt
Additional Ingredients
0.27 gal. Passion Fruit Pulp (added to Secondary for 2 weeks)
7.5 g AU Galaxy pellets 15% a.a.  @ 2nd 15 minute boil (1st boil 15 min before lacto and 15 min after kettle souring)
Lactobacillus Blend Omega OYL-605, with 500ml starter for 24 hours, kettle soured. Once sour level achieved and after 2nd boil, cool and pitch German Ale Wyeast 1007
Specifications:
Yield: 5.5 US gal (20.8 L)
Original Gravity: 1.033
Final Gravity: 1.007
ABV: 3.40%
IBU: 8
SRM: 3.5
Efficiency: 70","Directions:
Single infusion mash at 150° F for 60 minutes. Target 5.3 pH. Lauter then boil for 15 minutes.  Chill to 90° F and lower wort PH to 4.3 via Lactic Acid additions. Pitch Omega Lactobacillus blend, OYL-605. Once soured to 3.5PH, return wort back to kettle and boil for another 15 minutes. Chill to 65° F and pitch yeast starter. Ferment at 65° F. On day 5, allow temperature to free rise to 70° F.  Just before FG reached, transfer to secondary and rack on top of Passion Fruit Puree for 2 weeks. Cold crash when fully attenuated, add gelatin for 2-3 days. Transfer to Keg, Force carbonate to 3.0 vol. CO2.",
https://www.homebrewersassociation.org/homebrew-recipe/brookline-barleywine/,https://cdn.homebrewersassociation.org/wp-content/uploads/2021/02/04134635/medal-3-1.svg,"Browse hundreds of National Homebrew Competition medal-winning recipes from the best homebrewers around the world.
Trevor Campbell of Winter Springs, FL, member of the Brew Club of Seminole County, won a bronze medal in Category #18: Strong American Ale with an American Barleywine during the 2019 National Homebrew Competition Final Round in Providence, RI. Campbell’s American Barleywine was chosen as a top-three entry among 254 entries in the category.
Note: The specifications were estimated based on the beer recipe information provided.","Ingredients:
MALTS
15.5 lb pale two-row malt
1.0 lb UK Crystal 77 malt
1.0 lb US Crystal 90 malt
1.0 lb Carapils malt
HOPS
1 oz Chinook hops @ 60 min
0.5 oz Chinook hops @ 45 min
0.75 oz Centennial hops @ 30 min
0.5 oz Centennial hops @ 15 min
0.5 oz Cascade hops @ 15 min
1 oz Chinook hops @ dry hop
1 oz Centennial hops @ dry hop
1 oz Cascade hops @ dry hop
YEAST
1 package Wyeast 1056 American Ale Yeast
Specifications:
Yield: 5.5 US gal
Original Gravity: 1.084
Final Gravity: 1.021
ABV: 8,5%
IBU: 70
SRM: 17
Efficiency: 70%","Directions:
Add 7 gallons water at 166°F to mashtun for 60 minutes.  Temp was then 148°F. Sparge with 3 gallons at 161°F for 60 minutes. Temp should be around 151°F.  Boil for 60 minutes.  Add 1 oz Chinook at 60 minutes. 0.5 oz Chinook at 45 minutes.  Add 0.75 oz Centennial at 30 minutes. Add 0.5 oz Cenntenial and 0.5 oz Cascade at 15 minutes.  After 2 months in Primary, dry hop for 5 days, with 1 oz Chinook, 1 oz Centennial, 1 oz Cascade.  Bottle, using 0.75 cups of priming sugar added to bottling bucket.",
https://www.homebrewersassociation.org/homebrew-recipe/good-word-brewing-never-sleep-new-england-ipa/,https://cdn.homebrewersassociation.org/wp-content/uploads/2021/02/04134238/clone-flag.svg,"Try making this “clone recipe” of Good Word Brewing Never Sleep New England IPA from Good Word Brewing & Public House in Duluth, Georgia. Browse our library of replica beers in the AHA Recipe Library!
This is one of Good Word Brewing‘s most popular beers, described as “juicy” without being overly sweet thanks to Vic Secret and Citra hops. Pilsner malt dominates alongside English pale malt and oats for a little more body and mouthfeel.","Ingredients:
6.4 lb (2.90 kg) Pilsner malt
3.25 lb (1.47 kg) English Pale malt
1.5 lb (0.68 kg) of Oat malt
14 oz (0.40 kg) Dextrose
1 oz (28 g) of Vic Secret hops, 15.5% a.a. (10 min)
1 oz (28 g) Vic Secret hops, 15.5% a.a. (5 min)
1 oz (28 g) Citra hops (5 min)
5 oz (142 g) Citra hops (whirlpool)
5 oz (142 g) Vic Secret hops (whirlpool)
3 oz (85 g) Vic Secret hops (dry hop)
3 oz (85 g) Citra hops (dry hop)
Specifications:
Yield: 6.7 gal
Original Gravity: 1.067 (16.4 P)
Final Gravity: 1.013 (3.2 P)
ABV: 7.2%
IBU: 48
SRM: 4
Efficiency: 72%","Directions:
Stepped mash: 146° F for 15 minutes; 156° F for 30 minutes; mash out at 168° F for 10-15 minutes.
90 minute boil, following schedule listed in the ingredients. After boil, add whirlpool hops once wort is below 170° F to prevent isomerization of hops.
Ferment at 68° F for 2 days and increase temperature by 2° F on day 3. Allow temperature to free rise to 72-73° F by day 5.
Dry hop for 3 days when final gravity is within 0.5-1 Plato. Complete a diacetyl rest before cold crashing. Do this by taking a 2-4 oz sample that can be capped. Place sample in 140° F water for 20 minutes. Allow sample to come down to room temperature and test for diacetyl by smell and taste. If still present wait another 24-48 hours and retest. Only cold crash after the sample has passed the test. Crash at 32° F for 4-6 days and transfer to package.",
https://www.homebrewersassociation.org/homebrew-recipe/oceania-homegrown-ipa-split-batch/,https://cdn.homebrewersassociation.org/wp-content/uploads/2021/02/04134634/medal-1-1.svg,"The following beer recipe is featured in the May/June 2021 issue of Zymurgy magazine. Access this issue along with the archives with Zymurgy Online!
J.B. Zorn shares this recipe in the article “Return On Investment for the Homebrewer: Getting the Best Value out of Your Homebrewery.” The goal of this recipe was to make more beer with less money.
This beer recipe yields two beers: 11 gal. (60.6 L) of Oceania IPA and 5 gal. (18.9) L of Homegrown IPA. The two are mashed from a single grist and boiled as a single wort. After the boil, divide the wort into the two volumes, add whirlpool hops as indicated, and ferment as two separate beers.","Ingredients:
MALTS & ADJUNCTS
26 lb. (11.79 kg) 2-row pale malt
3 lb. (1.36 kg) wheat malt
1 lb. (454 g) Dingemans Biscuit malt
12 oz. (340 g) honey malt
8 oz. (227 g) 40L crystal malt
8 oz. (227 g) 65L crystal malt
2 lb. (907 g) clover honey
HOPS
1 oz. (28 g) AU Galaxy, 13.3% a.a. @ 90 min
1.5 oz. (43 g) AU Galaxy, 13.3% a.a. @ 20 min
2 oz. (57 g) AU Galaxy, 13.3% a.a., whirlpool 5 min in Oceania IPA
2 oz. (57 g) AU Vic Secret, 19.6% a.a., whirlpool 5 min in Oceania IPA
2 oz. (57 g) AU Enigma, 17.5% a.a., whirlpool 5 in Oceania IPA
2 oz. (57 g) AU Ella, 18.1% a.a., whirlpool 5 min in Oceania IPA
3.5 oz. (113 g) homegrown hops, whirlpool 5 min after boil but before cooling in Homegrown IPA
2 oz. (57 g) AU Galaxy, 13.3% a.a., dry hop 10 days in Oceania IPA
1 oz. (28 g) AU Enigma, 17.5% a.a., dry hop 10 days in Oceania IPA
1.5 oz. (113 g) homegrown hops, dry hop 10 days in Homegrown IPA
Water
Filtered water with 2 tsp. CaSO₄ and 2 tsp CaCL₂
Yeast
White Labs WLP051 California V Ale Yeast (2L starter)
ADDITIONAL ITEMS
yeast nutrient
Irish moss
Specifications:
Yield: Oceania: 11 US gal (60.6 L), Homegrown: 5 US gal (18.9 L)
Original Gravity: 1.058 (14.4°P)
Final Gravity: 1.012 (3.1°P)
ABV: 6.2%
IBU: 52
SRM: 7
Efficiency: 80%","Directions:
Heat 11.2 gal. (45.4 L) strike water to 166°F (74°C) and mash in grains for a mash thickness of 1.33 qt./lb. (2.8 L/kg), targeting a mash pH of 5.3. Mash for 60 minutes at 153°F (67°C) and then 15 minutes at 165°F (74°C).
Boil 90 minutes, adding kettle hops as indicated. After boil, divide into 11-gal. and 5-gal. worts and add whirlpool hops as indicated. Chill and rack to two fermenters. Ferment at 68°F (20°C) until specific gravity stabilizes at or near indicated final gravity.
Add dry hops to the two fermenters 10 days before bottling or kegging as indicated.",
https://www.homebrewersassociation.org/homebrew-recipe/double-diest-1851/,Not Found,"The following beer recipe is featured in the May/June 2021 issue of Zymurgy magazine. Access this issue along with the archives with Zymurgy Online!
From the article “The Lost Healthy Beers of Belgium” by Roel Mulder: The double uitzet was mostly brewed in winter, and was yellow to amber in color. It often kept until summer and then blended with a young beer, although sometimes it was kept for two years.","Ingredients:
MALTS & ADJUNCTS
2.9 kg (6.4 kg) raw wheat
2.83 kg (6.2 lb.) Pilsner malt
1.12 kg (2.5 lb.) raw oats
250 g (8.8 oz.) Weyermann Carafa I malt
HOPS
68 g (2.4 oz.) Hallertau (or similar)
YEAST
Top-fermenting, low attenuation
Specifications:
Yield: 5.28 US gal (20 L)
Original Gravity: 1.082
Final Gravity: 1.036
ABV: 6%
IBU: 23
SRM: 19","Directions:
To simulate the original boiling time (8 to 10, or even 20, hours) and its effects on the beer’s color, some color malt has been added to this recipe. Early 20th-century recipes involve the addition of invert sugar or molasses. Add some if you want a really sweet beer. Try cinnamon for taste, as at least one old newspaper advertisement mentions this as an ingredient.",
https://www.homebrewersassociation.org/homebrew-recipe/smash-sensory-blonde-ale/,Not Found,"The following beer recipe is featured in the May/June 2021 issue of Zymurgy magazine. Access this issue along with the archives with Zymurgy Online!
This is one of the official 2023 Learn To Homebrew Day beer recipes, download a PDF of the recipe. Join the Learn to Homebrew Day celebration every year on the first Saturday in November (Nov. 4, 2023).
* * *
What is a “SMaSH” beer recipe?
“SMaSH” stands for “single malt and single hop.” The acronym alludes to the simplistic listing of ingredients in a beer recipe, where only one type of malt and one type of hop are used.
There are many benefits to brewing a SMaSH beer recipe. With having a limited amount of ingredients, you can test your sensory skills to see how a specific hop or malt comes through in a recipe. By building an understanding of what to expect when using certain ingredients, you can make more informed decisions on what ingredients to incorporate in future recipes with more than one malt and/or hop.
This recipe is featured in Beer School: Get More Out Of Your Brewing Appliance by Jason Chalifour.","Ingredients:
Malts
2 lb. (907 g) base malt of your choice
Hops
0.15 oz. (4 g) Cluster, 7.8% a.a. @ 60 min
Yeast
1/2 sachet (5.5 g) Fermentis SafAle US-05
Specifications:
Yield: 1 US gal (4 L)
Original Gravity: 1.046
Final Gravity: 1.010
ABV: 4.7%
IBU: 25
Efficiency: 70%","Directions:
Mash at 152°F (67°C) for 60 minutes. Use the same base malt in each batch, but use different hops, specialty malts, or different yeasts. Use 1.2 lb. of dry malt extract in place of base malt for an all-extract version.",
https://www.homebrewersassociation.org/homebrew-recipe/cicadale-ale-with-cicadas/,Not Found,"The following beer recipe is featured in the November/December 2004 issue of Zymurgy magazine. Access this issue along with the archives with Zymurgy Online!
This may just be the most unique homebrew recipe you've come across yet!
If you haven’t picked up from the name, CicadAle incorporates cicadas—an insect that emerges in parts of the world every 17 years—in the boil.
To learn more about brewing beer with cicadas, check out the article All Abuzz Cicada Beer by recipe creator Greg Kitsock.","Ingredients:
36.75 lb (16.67 kg) two-row pale malt
4.0 lb (1.8 kg)   Munich malt (dark)
2.25 lb (1.02 kg) CaraMunich 40
0.75 oz (21 g) Centennial hops, 10.5% alpha acid, 60 min
0.75 oz. (21 g) Northern Brewer hops, 9% alpha acid, 56 min
0.75 oz. (21 g) Cascade hops, 5.75% alpha acid, 52 min
0.75 oz. (21 g) Mt. Hood hops, 6.5% alpha acid, 48 min
0.75 oz. (21 g) Centennial hops, 10.5% alpha acid, 46 min
0.75 oz. (21 g) Northern Brewer hops, 9% alpha acid, 42 min
0.75 oz. (21 g) Cascade hops, 5.75% alpha acid, 38 min
0.75 oz. (21 g) Mt. Hood hops, 6.5% alpha acid, 34 min
0.75 oz. (21 g) Centennial hops, 10.5% alpha acid, 30 min
0.75 oz. (21 g) Northern Brewer hops, 9% alpha acid, 26 min
0.75 oz. (21 g) Cascade hops, 5.75% alpha acid, 22 min
0.75 oz. (21 g) Mt. Hood hops, 6.5% alpha acid, 18 min
0.75 oz. (21 g) Centennial hops, 10.5% alpha acid, 14 min
0.75 oz. (21 g) Northern Brewer hops, 9% alpha acid, 10 min
0.75 oz. (21 g) Cascade hops, 5.75% alpha acid, 6 min
0.75 oz. (21 g) Mt. Hood hops, 6.5% alpha acid, 2 min
1.00 oz. (21 g) Czech Saaz hops, 3.5% alpha acid 0 min
1 quart of cicadas (about 75 insects)
White Labs English ale yeast
Specifications:
Yield: 12 U.S. gallons (45.4 L)
Original Gravity: 1.081
Final Gravity: 1.026
ABV: 7.31%
IBU: 92.7","Directions:
Dough in at 165° F (74° C). Saccharification rest temperature (at 90 minutes) 150° F (66° C). Mash out rest temperature, 165° F (74° C) (10 minutes). Sparge temperature, 170° F (77° C) (20 minutes).
Boil for 90 minutes. Beginning at 60 minutes, hop according to the above regimen.
Ferment at 65° F, both primary and secondary. Primary fermentation takes three weeks, secondary fermentation takes six to seven weeks.",
https://www.homebrewersassociation.org/homebrew-recipe/thc-infused-tripel-royal-stag/,Not Found,"The following beer recipe is featured in the March/April 2020 issue of Zymurgy magazine. Access this issue along with the archives with Zymurgy Online!
This recipe comes courtesy of Mark Rocheleau and Andrew Orr. There are options for homebrewers who live in states where marijuana and/or industrial hemp is legal and want to combine their craft beer with marijuana or hemp for personal enjoyment. This tripel-style, THC infusion combines the golden strong ale mild spice with a pleasing THC tincture.
THC-infused beer can—and very likely will—induce psychoactive effects, which can vary from person to person. Consume these beers responsibly and at your own risk. If you are unsure of what to expect, start with a very small sample and wait a few hours before consuming more.
Editor’s Note: Despite legalization and/or decriminalization of cannabis and cannabis-derived products by many states and the District of Columbia, marijuana remains classified as a Schedule I substance under the Controlled Substances Act of 1970 and, thus, federally illegal. The American Homebrewers Association neither endorses nor discourages brewing with cannabis-related products, however homebrewers who do so should remember that such beers are not permitted in the National Homebrew Competition. Most local and regional competitions also do not allow cannabis beers at this time.","Ingredients:
MALTS
13 lb. (5.9 kg) Belgian Pilsner malt
2 lb. (907 g) rye malt
1.5 lb. (680 g) Carapils malt
11 oz. (312 g) aromatic malt
HOPS
3 oz. (85 g) Styrian Goldings @ 45 min
1 oz. (28 g) Saaz @ 5 min
ADDITIONAL ITEMS
1 lb. (454 g) Candi Syrup Simplicity @ 15 min
THC tincture (see main text for details on preparation)
YEAST
Imperial Yeast B48 Triple Double
Specifications:
Yield: 5.5 US gal. (20.8 L)
Original Gravity: 1.074 (18°P)
Final Gravity: 1.010 (2.6°P)
ABV: 8.6% by volume
IBU: 33 IBU
SRM: 6.5
Efficiency: 63%","Directions:
Mash at 147°F (64°C) for 60 minutes. Lauter, sparge, and collect wort. Boil for 60 minutes, following hop and boil addition schedule above. Chill to 67°F (19°C), oxygenate, and under-pitch yeast with approximately 250 billion cells. Ferment at 67°F (19°C) for three days, then raise temperature to 75°F (24°C) over 11 days. Rack to secondary and hold at room temperature for 7 days. Carbonating in a keg and then bottling from the keg lets you dose bottles individually. Infuse bottles with THC tincture and dropper. Placing the tincture in a warm bath improves viscosity and solubility. A slight swirl to a capped bottle helps disperse infused THC tincture before serving.","Editor’s Note: Despite legalization and/or decriminalization of cannabis and cannabis-derived products by many
states and the District of Columbia, marijuana remains classified as a Schedule I substance under the
Controlled Substances Act of 1970 and, thus, federally illegal. The American Homebrewers Association
neither endorses nor discourages brewing with cannabis-related products, however homebrewers who
do so should remember that such beers are not permitted in the National Homebrew Competition.
Most local and regional competitions also do not allow cannabis beers at this time."
https://www.homebrewersassociation.org/homebrew-recipe/ube-licious-lager/,https://cdn.homebrewersassociation.org/wp-content/uploads/2021/02/04134237/medal-0-1.svg,"This award-winning beer recipe earned Katherine Gooding the Best of Show title in the 2019 Queen of Beer competition.
“My goal for the base beer was to make a light-colored lager that would allow the purple from the Ube to come through and still have a relatively clear beer with a white head,” said Gooding.
Gooding used the brown-skinned variety of ube that’s purple inside. They were cut and roasted at 375°F (190°C) for 60 minutes and then slightly mashed (in the potato sense of the word) and rehydrated with boiling water so they would not absorb much liquid. The ube was added to the fermenter during active fermentation. She fined with gelatin but will filter next time for increased clarity.","Ingredients:
Malts
10 lb. (4.54 kg) Avangard Pilsner Malt (87%)
1 lb. (454 g) Briess Wheat White Malt (8.7%)
4 oz. ( 113 g) Briess Carapils (2.2%)
4 oz. (113 g) Cargill (Gambrinus) Honey Malt (2.2%)
Hops
1 oz. (28 g) Hallertauer, 4% a.a., boil 60 min (13 IBU)
1 oz. (28 g) Hallertauer, 4% a.a., boil 15 min (6 IBU)
1 oz. (28 g) Hallertauer, 4% a.a., dry hop 6 days
Miscellaneous
0.46 g calcium chloride – CaCl2  (mash)
0.41 g Epsom salt – MgSO4 (mash)
0.41 g gypsum – CaSO4  (mash)
0.33 g calcium chloride – CaCl2 (sparge)
0.3 g Epsom salt – MgSO4 (sparge)
0.3 g gypsum – CaSO4 (sparge)
1 tablet Whirlfloc (boil, 15 min)
5 lb. roasted ube (primary)
Yeast
1 sachet Fermentis SafLager S-23
Water Profile
Ca 21 ppm, Mg 3 ppm, Na 2 ppm, Cl 12 ppm, SO4 21 ppm, HCO3 25 ppm
Specifications:
Yield: 6.1 gal. (23 L)
Original Gravity: 1.051
Final Gravity: 1.006
IBU: 19
SRM: 4","Directions:
Mash at 149°F (65°C) for 60 minutes. Conduct a 60-minute boil, following the addition schedule as noted in the ingredients. Ferment in primary for 14 days at 68°F (20°C). Carbonate to 2.4 vol. (4.8 g/L) CO2",
