,style,beer_name,final_results,url,category
0,UK/US STRONG ALE,Big Blimp! Barleywine (2019),"['ABV: 10.31%', 'IBU: 100', 'SRM: 17']",https://www.homebrewersassociation.org/homebrew-recipe/big-blimp-barleywine/,Extract
1,BLONDE ALE,Freya’s Locks Blonde Ale,"['ABV: 4.5%', 'IBU: 21', 'SRM: 6-7']",https://www.homebrewersassociation.org/homebrew-recipe/freyas-locks-blonde-ale/,Extract
2,UK/US STRONG ALE,Lines on the Map English Strong Ale,"['ABV: 8.7%', 'IBU: 56', 'SRM: 35+']",https://www.homebrewersassociation.org/homebrew-recipe/lines-on-the-map-english-strong-ale/,Extract
3,AMBER ALE,Wee Heavy/Strong Scotch Ale,"['ABV: 8.80%', 'IBU: 36', 'SRM: 20']",https://www.homebrewersassociation.org/homebrew-recipe/wee-heavystrong-scotch-ale/,Extract
4,AMBER ALE,O’Davey Irish Red Ale,"['ABV: 5.5%', 'IBU: 24', 'SRM: 17']",https://www.homebrewersassociation.org/homebrew-recipe/odavey-irish-red-ale/,Extract
5,AMERICAN PALE ALE,Nearly Nirvana Pale Ale,"['ABV: 6.2%', 'IBU: 45', 'SRM: 6']",https://www.homebrewersassociation.org/homebrew-recipe/nearly-nirvana-pale-ale/,Extract
6,COFFEE BEER,Opus Coffee Baltic Porter,"['ABV: 8.20%', 'IBU: 35', 'SRM: 34']",https://www.homebrewersassociation.org/homebrew-recipe/opus-coffee-baltic-porter/,Extract
7,AMBER ALE,LTHD22 Hoppy Amber Ale,"['ABV: 4-5%', 'IBU: 45-60', 'SRM: 14']",https://www.homebrewersassociation.org/homebrew-recipe/lthd22-hoppy-amber-ale/,Extract
8,IMPERIAL / DOUBLE IPA,Star Gazer Hazy Double IPA,"['ABV: 7%', 'IBU: 35', 'FG: 1.012 (3.1°P)']",https://www.homebrewersassociation.org/homebrew-recipe/star-gazer-hazy-double-ipa-big-brew-2021/,Extract
9,PORTER,Dark Inception Imperial Porter,"['ABV: 8.4%', 'IBU: 20', 'SRM: 40']",https://www.homebrewersassociation.org/homebrew-recipe/dark-inception-imperial-porter/,Extract
10,STOUT,Cherry Chica Stout with Julia Herz,"['ABV: 7-8', 'OG: 1.088-ish', 'FG: 1.025-ish']",https://www.homebrewersassociation.org/homebrew-recipe/cherry-chica-stout-with-julia-herz/,Extract
11,SAISON,Raison d’Saison with Elizabeth Burgess,"['ABV: 6.9%', 'IBU: 27', 'SRM: 5']",https://www.homebrewersassociation.org/homebrew-recipe/raison-dsaison-with-elizabeth-burgess/,Extract
12,AMERICAN PALE ALE,American Pale Ale with Shawna Cormier,"['ABV: 5.7%', 'IBU: 40', 'SRM: 6']",https://www.homebrewersassociation.org/homebrew-recipe/american-pale-ale-with-shawna-cormier/,Extract
13,GERMAN PILSNER,Kuhn’s Pilsner,"['ABV: 5.6%', 'IBU: 37', 'SRM: 3-4']",https://www.homebrewersassociation.org/homebrew-recipe/kuhns-pilsner/,Extract
14,BARLEYWINE,Malzwein Alt Barley Wine,"['ABV: 8.9-10.5%', 'OG: 1.098-1.108', 'FG: 1.028-1.032']",https://www.homebrewersassociation.org/homebrew-recipe/malzwein-alt-barley-wine/,Extract
15,BOCK,Winter Bock,"['ABV: 7.5%', 'IBU: 27']",https://www.homebrewersassociation.org/homebrew-recipe/winter-bock/,Extract
16,AMERICAN IPA,Yellow Rose SMaSH,"['ABV: 6.8%', 'IBU: 51', 'SRM: 6']",https://www.homebrewersassociation.org/homebrew-recipe/yellow-rose-smash/,Extract
17,MILD,Lucky 13 Dark Mild,"['ABV: 4.8%', 'IBU: 12.5', 'SRM: 21']",https://www.homebrewersassociation.org/homebrew-recipe/lucky-13-dark-mild/,Extract
